# Generated 2020-06-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-08, " exe AgentTesla Loki", "http://boasteel.us/band.exe", df111b39e9fc4af38afae83d83872dd6, ccec2bbc0e6dd14b98365672ba3778ed5d9ace66, 5e095f19ee1f47f01ee5dad9828fef4bd1047feb4860765b5ac387b2ac371330, 12288:gEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/XKYK6o8mYQh:gEEbuQ9WmD1HITPTnXd94ZQOxbaA8fE,"383118.bin.TMP", Windows executable (MZ), 704512 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "32-bit arm elf", "http://108.79.242.31:28679/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383779.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://118.232.214.72:11151/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383193.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://179.154.99.36:4474/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383221.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://191.17.71.153:35705/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383006.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://217.67.177.198:6497/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"384092.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://219.71.191.152:4296/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"382992.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://24.51.91.113:50426/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383223.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://42.117.155.151:9082/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383161.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://46.42.118.86:26412/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383052.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit arm elf", "http://75.46.165.249:38276/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"383027.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-08, "32-bit elf mips", "http://194.37.80.241/mips", 30bbd8f1e05fd2eef7b3df6937a57c8a, 6565876c39bce11a503b80278726cfff8f2873c8, e053a12e916fcaca83dab41a552105c7dafb15f30813e23db3501c6d937a4ff5, 3072:JW6BK9tS1aRG4dKP6h//CIH+mrThPaLEne7rNb:c64i6XCDmrThPaLEne7rNb,"383345.bin.TMP", Linux executable (ELF), 155429 bytes, -, -
