# Generated 2020-06-29 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-29, "_2020-06-29_singlefile_7z.bin", -, 0a0bad9094bb9cf6f4622b96eb47d51b, 9a67f6560a25f8c594b553a7a7f7b8bcf553da21, 379854fc873978e3a94577f75b15d4f991cb9769b07bb4f31ca26bf7fe7697c9, 6144:nTRsVlMkn5+vyC7Bqa6b/n9qDhnXES6mDQ9Tu:nTmlhnCWa0PUDhn1MI,"_2020-06-29_singlefile_7z.bin", 7z file, 206364 bytes, -, -
2020-06-29, "_2020-06-29_singlefile_exe.bin", -, 0c7a4e647b6bbb4c6d189d02bd901260, 2c042b09b3ae2b264b7ce3eff3d72c3940b7eb1d, cb62c65f690eb81210ce2995fe65ca83f43623fe9576a13685fcacee9c3ea527, 6144:7StEuyciv9YwWaddLIKLtfNDT+JjJsPygVRq2:iEqOYM17DQJerRq2,"_2020-06-29_singlefile_exe.bin", Windows executable (MZ), 634880 bytes, nh:80962d881d7b8d49521164d82aa64145, mh:4a968bf48f8eab094221ccaae3621127
2020-06-29, "32-bit arm elf", "http://123.187.77.4:34503/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403263.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://125.167.81.236:22689/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403008.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://187.194.40.160:57740/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403283.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://66.176.240.7:62668/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403097.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://74.194.117.165:61938/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403022.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://76.95.247.164:25325/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403297.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://87.27.202.250:35387/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"402991.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit arm elf", "http://92.216.118.77:53962/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"403304.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-29, "32-bit elf mips", "http://42.227.185.165:60403/i", 849b165f28ae8b1cebe0c7430f44aff3, 1e3605f5a7c3b0ed8dd0333660e9b43431f395bd, c6f6ca23761292552e6ea5f12496dc9c73374be0c5f9d0b2142ca3ae0bb8fe14, 3072:vDH1Y9gKmUr3SD+NQ39o+F1+AehjW6Bh1ciG1qp5oiM:vDV2zmUjGv39o+F1+NJj1G1qp5oiM,"403209.bin.TMP", Linux executable (ELF), 129280 bytes, -, -
2020-06-29, "32-bit elf x86-32", "http://45.84.196.88/bins/ProtonX.x86", 8db4dfc4c83ba5a52d1022c2cf47b929, 4b674f7d1242f4b458e7009c7dd5170bd2dd28c6, a3206a696691b32b20715645ce68cb6d9d4588a399950b374ab76d12d11a8499, 768:lPwZzoiZe0hwlL2MlsVztFZfa+5nXrOu4yvZYCXgz1t1yIxKa9qCU:lPWoiZe0hwJ2MsFZfa+5nXrOu7Y6I1ty,"403086.bin.TMP", Linux executable (ELF), 47632 bytes, -, -
2020-06-29, "AgentTesla exe", "http://biz9holdings.com/INVOICE/4IDeThF102o6ePW.exe", 7abd063e381eb25aa291a000bddc3145, aa0bbeac9f8e7b0daf8cef63d82e6e19cbd5d59e, 0583542d7b4606a3a7aa7ff774f7d849ee2e287697fc2ecd45d1df6332b907d9, 12288:OJ8hSuyTSS8apmEFN4SVmdGGh8hZBRWBAtoqnYrD:tUSh6qdGPzaOoq8,"403262.bin.TMP", Windows executable (MZ), 493568 bytes, nh:fe54bd9782ca7bdd1a3b20423b4070be, mh:3ec18e74dd2b72ee504c5d6ef9309277
