# Generated 2020-07-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-07-26, "_2020-07-26_Wastedlocker.ransomware.exe.bin", -, c8d3124da2597ed5622840c8129bd6f6, 89c54d4fbf67f8b9a98532eae5bfc60b18cf581a, 61322bfef06e7fda9e84ad05a402f63f3ece7013120081ca2d3cdbfd4cfbc807, 768:Gpn3Uzypt/1s4bLaDyixY1Fp/5Nb0p3zKnY/iPWS5eaNWLN323g9NKXMcA58VN77:Op1JRDKkQfNsA58VIwAy9b,"_2020-07-26_Wastedlocker.ransomware.exe.bin", Windows executable (MZ), 44544 bytes, nh:f3a92583920137f2ba6e5946a887272a, -
2020-07-26, "None", "http://198.46.209.159/bins/infn.arm7", 9a96826d36b358fd33102a4681a250bf, 39061dcfdee7786d5bd6289fcb7ac658d81fe611, bccfc8b3973e379c58df2a8d6bbe53ca21a7a0a33131f1da3eaa51c3d92477bc, 3072:4pSPwv7itGt2U5IHqCT71xSmWKXnF1YWS6b3b6yyaM/9xrU2V:4pS4v7iwt2U5IHq2nWKXnF2F6v6yrM/P,"419452.bin.TMP", Linux executable (ELF), 153021 bytes, -, -
2020-07-26, "None", "http://45.95.168.190/5311qjmikurawepedalnqmashrabotatuk61119123c/infn.arm7", 9a96826d36b358fd33102a4681a250bf, 39061dcfdee7786d5bd6289fcb7ac658d81fe611, bccfc8b3973e379c58df2a8d6bbe53ca21a7a0a33131f1da3eaa51c3d92477bc, 3072:4pSPwv7itGt2U5IHqCT71xSmWKXnF1YWS6b3b6yyaM/9xrU2V:4pS4v7iwt2U5IHq2nWKXnF2F6v6yrM/P,"419451.bin.TMP", Linux executable (ELF), 153021 bytes, -, -
2020-07-27, "32-bit arm elf", "http://128.116.133.92:59287/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419859.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://189.129.130.164:14191/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419664.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://189.68.157.218:26526/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419471.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://200.150.187.31:20260/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"420031.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://211.248.2.85:19497/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419768.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://39.117.31.162:7532/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419668.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://71.187.60.8:8960/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419502.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit arm elf", "http://72.229.230.118:49161/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"419711.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-07-27, "32-bit elf mips", "http://23.254.230.105/mips", eb81509e362e94fa5958c0b89edc45ed, b60e706ffdf21d63d8abbea06c51eb7c56d56905, df9d9592f80a21e0cba3089eb47198233c7dab41ca7009f04b95388988782e40, 3072:H3ZpjOZxToHUE2uZabAb7U76g5haRlOedDDTlRWPv5MFrf:HGZpsFg5haRPDDTlRWPv5MFrf,"419470.bin.TMP", Linux executable (ELF), 203240 bytes, -, -
2020-07-27, "32-bit elf x86-32", "http://195.88.208.35/bins/gemini.x86", d44929d6e2c346c11fc0fb2f81773200, d301b40838d19945b6f34c63876bf7987cc3b644, 4aff8422845aeed7f9d38612a30c888f750a9106791943ce5cdf8d8114547cc9, 768:HY5qHyArLdja5NQWkHnJZ9F4rAlVKFE5c8142J3boWm:HY5qHygLdjM+WwJ9w+KFEm86eboWm,"419842.bin.TMP", Linux executable (ELF), 50000 bytes, -, -
2020-07-27, "32-bit elf x86-32", "http://195.88.208.35/bins/x86", 9d518b720697da286f53e2495dcca183, e80cda6893ca709aa0874400c41a5989bb7d8e4e, 10b86cdf7d6104bda806e0b15f3df7f145a3f89bcb55ca813d9c2e12b5dc3757, 768:2Hs0IKoqqwOMi1/hUMQozES2U7E8OHyt2/1PKmrrr+AlxAKn+Gqixfzh6fn:2HsXqqJMi1/hUMQjJA2/1Kb++/i9zh6,"419551.bin.TMP", Linux executable (ELF), 47216 bytes, -, -
2020-07-27, "32-bit elf x86-32", "http://37.49.230.133/FuckMalwareResearchers/FuckinToaster.x86", 0e78c2e3f388e0013e7de1f355d0a5aa, ff4667cd4cf49447d84e103fb83a7430a6f7706b, 892c93ac93af8901310b4afde684e11c0a8178e3f6626b6fc75e5c1992cc1a9e, 768:220sFZ8HEMXOscK8iQpP4q0sifVtsaEOazFWiiozw+UhiLWaKr9axuR6ERMrfm6e:Nb3MXXcKMPdAw7giioHUh5bhWY6kqfje,"419716.bin.TMP", Linux executable (ELF), 48368 bytes, -, -
2020-07-27, "64-bit elf x86-64", "http://23.254.230.105/x86", 096c867114896510c460f82fc84f4c75, a1035603c39b7587de2a4cde8270f8d7f0547c27, 3b792840b41400d44f3201d30e90ae2ec2159d5b6ed0cecc0ceb5fb7c6a13e73, 3072:VJ1R4N/2KvJWtWlq5XtOBwF6ZLcZhphLhw2dVD6/t+DcowxyiMwxc1e:VJS4OOsephLhw2dVDtDcowxyiMwxc1e,"419469.bin.TMP", Linux executable (ELF), 149390 bytes, -, -
2020-07-27, "AZORult exe", "http://adtechsolutions.in/bin/Purchase.exe", b731a6c7110d0ed272e977babaa204f6, 90a7fc73fdcbf4d51af667818ba4b22f15d6634a, da6d45fd39478c021900718f516197ec10fca556936a3960e13e787bdda1b5ea, 6144:r2GhNafuzces6tYAG5zyAHax1XOnJyut/u7b2PBCb+/MsqwltKAibwc8Np5:r2iNaGzKZYkm+UxPsZw1wv1,"419888.bin.TMP", Windows executable (MZ), 551424 bytes, nh:468de9ae5b469debc888174d35c759ad, mh:8535f3c4f70918df12c26e7a5d34a304
2020-07-27, "bashlite elf gafgyt", "http://37.49.230.133/FuckMalwareResearchers/FuckinToaster.arm7", d1b8642565fd81e80519e0372a8f6a31, 95cfe9cda0f363a0af1ff2f01f670c5d4fccec84, 40f10ec23e327cb329dfe9ac4ddde180da2b1892a7bac8340afe5d3c856ca0be, 1536:IcTa5sJpvStKJNaB0DqQOgHKWPKmYL0CFEbDxKgTi1ixT:na2nvSIJNaB0DqNHxL0Iq4g/xT,"419756.bin.TMP", Linux executable (ELF), 77316 bytes, -, -
