# Generated 2020-08-01 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-07-31, "_422542.exe.bin", -, 4995b1c4cde6748d0084e350d5219b32, 17b53ec84f8e599b43631f74fc894a4e9a3c17ac, 9692c08d6eb924c469da8c55614c8028dea1a9fff1c4eee4128d5919b4732493, 6144:wHAgbCa8sGQTAY8x5Au89eVr5HFXTX6RN3nbSEGwyw0fMJQLY7XqFigymKgW+W:wHX8kTB9e3HdTX6RN+EGwyw0f/FigMP,"_422542.exe.bin", Windows executable (MZ), 656384 bytes, nh:01eae2abef7c769a5e703b1957aaf954, mh:b799ff842b3c4886d67423176eb498e9
2020-07-31, "32-bit elf mips", "http://45.156.185.218/skid.mips", 0a441272ff11e7ca0dc762744b7fa224, ab423fddf4fd5348b7ce52cc0a3e3c0b9145dd9c, d3e11711f296bea5ce9fc16008c1cafa730ee8133cc32338a87892a4507527c0, 3072:0VW0fIHznlZx5h50qBkxmkizF9GhsRiAe:0APT3x5h50ZxmkizF9GhsRiAe,"423003.bin.TMP", Linux executable (ELF), 115243 bytes, -, -
2020-07-31, "32-bit elf x86-32", "http://104.244.78.107/bins/cutie.x86", a5352483250c8d486b60422f231991e3, bb4b0ff0db204564e9dfba77def54806453690b0, 49018f1c0539704bf52eefed85a16dc8fce6e3a7ae1805a13b761ae896dbebac, 1536:wGrhb1tRGdaYDsRRoUwIKD5WyeD1kg6YuZT/R15gnsw8suvmKWmOY1IkIi:wGr3tgdaYgRRo/IKD5WyeD1kRTp1GnQC,"422978.bin.TMP", Linux executable (ELF), 75344 bytes, -, -
2020-07-31, "ddos elf mirai", "http://104.244.78.107/bins/cutie.arm", 82ee0b676b73ff95555c3fc38ac00c02, 95db5180a53ce9a917692843aef3f835dd2dcf72, 73589d0315f99faf40ec062278fd7b0b26ed0160135047a8c539b2ccde17134d, 1536:uR0/3rgO4pUDolk6NeX1GkDauriLjh4M38XhycQ3vS6enLWPzRB5WKQwr29:s0vrgO4pUk5bGAWhycOS6QyBkKQ9,"422988.bin.TMP", Linux executable (ELF), 87036 bytes, -, -
2020-07-31, "ddos elf mirai", "http://104.244.78.107/bins/cutie.arm5", 631e9d8f2ae07042d323267d277b49e1, a39047baba7546a642dc07de4a9948004e5257f2, 13e3f7347b1d449177eaf387b4de120583dbd7e23984a50b947af0736b449773, 1536:URIMIgkcfoVkd+ttPLXgYZIWrOU7IKTzwul3+l86H43vS6e8JHreetr29:URIzgkcQVk4HgRq3yBH2S6NHRI,"422989.bin.TMP", Linux executable (ELF), 77056 bytes, -, -
2020-07-31, "ddos elf mirai", "http://104.244.78.107/bins/cutie.mips", 8a646875ebf7ebadcd9482e9cf723d69, b786911cb4deb91f73ef864c174ef87740fc61d3, ca6df7a9a7ca51edc98ae3d158b751190c031b80114bad20e0622554b58752de, 1536:ABSE4SA8WKjCrG9cdgDGQTyzXZ9LpaThODAnSNZwmrEvnLP6Lrv29DN:rn8WKyG9xTiL9aTwDbNZw2EvnLPuSL,"422990.bin.TMP", Linux executable (ELF), 109740 bytes, -, -
2020-07-31, "ddos elf mirai", "http://104.244.78.107/bins/cutie.mpsl", 23a67325c6cbce31f07e9bca038681ee, e3dbaf4390d84fd5d2ece997d4541a86de09c74e, ce76447ccb1a49d302bdbfd23c1787c484223f080f956574d73a252e26778eed, 1536:I7bmhhWVfKBIBWH5+SDsSnw6qB5N5++Z6LwiQX29GK:I2hhWVyK21Ds3++QkK,"422991.bin.TMP", Linux executable (ELF), 113836 bytes, -, -
2020-07-31, "doc emotet epoch1", "http://aptstudio.com/bookseer/13120734-KP7ZzVETk2GStK-zone/open-8838743-dGIojWBw66qCh/hRJcybkq-cpcmq2l9Hbvx3/", 6be3ffa190ab09c247845bf0a9426e60, aaab7a3b3b90d70f75ece245adcbd7d5ea4d5ad4, fa7e39220987147abed39ce6891d5c0ae114df52e982f64571598bd8df376966, 3072:c4PrXcuQuvpzm4bkiaMQgAlSfwol1s3wW4Ra:RDRv1m4bnQgISfwC1ywW4Ra,"422965.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 173996 bytes, -, -
2020-07-31, "doc emotet epoch1", "http://nalini.com.au/vendor/common-942469673-tt2cqFubFB/open-warehouse/ynsyqqs8hb3mvh-vs63t1v3023s9w/", 6be3ffa190ab09c247845bf0a9426e60, aaab7a3b3b90d70f75ece245adcbd7d5ea4d5ad4, fa7e39220987147abed39ce6891d5c0ae114df52e982f64571598bd8df376966, 3072:c4PrXcuQuvpzm4bkiaMQgAlSfwol1s3wW4Ra:RDRv1m4bnQgISfwC1ywW4Ra,"422967.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 173996 bytes, -, -
2020-07-31, "doc emotet epoch1", "http://nihontravel.es/wp-admin/available_sector/verifiable_area/GFdLi8_g8f3IgNnjKvxG/", 6be3ffa190ab09c247845bf0a9426e60, aaab7a3b3b90d70f75ece245adcbd7d5ea4d5ad4, fa7e39220987147abed39ce6891d5c0ae114df52e982f64571598bd8df376966, 3072:c4PrXcuQuvpzm4bkiaMQgAlSfwol1s3wW4Ra:RDRv1m4bnQgISfwC1ywW4Ra,"422968.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 173996 bytes, -, -
2020-07-31, "doc emotet epoch1", "http://nomak.it/elettricista/closed-resource/935332023920-ST6P6pP8-space/rEOvt8KU-MeaqbibMvJqdI/", 6be3ffa190ab09c247845bf0a9426e60, aaab7a3b3b90d70f75ece245adcbd7d5ea4d5ad4, fa7e39220987147abed39ce6891d5c0ae114df52e982f64571598bd8df376966, 3072:c4PrXcuQuvpzm4bkiaMQgAlSfwol1s3wW4Ra:RDRv1m4bnQgISfwC1ywW4Ra,"422964.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 173996 bytes, -, -
