# Generated 2020-08-11 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-08-10, "AgentTesla", "http://brandotoday.com/Quotation2.exe", 4d3148d7a98914ebe7cf966ad4b5cd41, a7735eb34775202d7877d283b9a7e7105bd2f4a0, 0a6b52ec47bedcc73a84174c590088452c564354e09c334733f5d67132a788e1, 12288:aHo4CgrpiARn7t2bwPoW5ZWMqTW0vWN+UoEccHLRYu:a9QAa2zWVB/4H9Yu,"428857.bin.TMP", Windows executable (MZ), 562176 bytes, nh:e382bd94a724f4fdd24ae0ba86c6cd5b, mh:cce2a74040bf6d28c99062b70f3f9c73
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/arm", 1e00f36e30692fe90b30fd5a6a30d837, 8942fd3d924180f63f3c215dc5a71ebdcef11431, b904cfb31c7331142af8ba69c91035e6d82940116c1f3391b57a393622b89d76, 768:95TlN0LmSM8deiaSH4eGIY4N0VrimX+pMF87sh8h3MaQy6I3U3:X8VMhx0G2UimupC8Voy6Z,"428859.bin.TMP", Linux executable (ELF), 32892 bytes, -, -
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/arm5", fd521f7803e21337391702eb88a7011d, 4537e17d36788e5de48929084413f6a4a69a9671, e6afca2686a37871d57cb9c91feb5e14353c2ac943d00fc8abefe98307be6900, 768:KkKXIHg7i2Tdcg4a0XS0w/YCEoNqXqk3URF:KyHwTp4a0CnwPoAC,"428860.bin.TMP", Linux executable (ELF), 29336 bytes, -, -
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/arm6", a494abe12927163d88b59e909c31a495, 98747e80ff1d50ed690ddba1e05016fce7d74b50, fa62564bf76ba0cfd14d75d921f9b49c6e61044926ccf188f3d3d51399e8afbf, 768:Wcr0UJIu0q5ntgk+9y+pzUxgWdBOR68r4P5q3UIQN3:Wcr7IumzUxgWbOR6Mq3,"428861.bin.TMP", Linux executable (ELF), 37812 bytes, -, -
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/mips", 7efdfc7e51abc21d6980cb49ede058ef, 467de1997092df94962f53dce88cd9c91ac271d9, 900c7405943cef7dbaee7cd82090c36fcd0bb833b09f74b7a3e85cbc05f08106, 768:1o6GunMQ62Nsrz1T8LUOoZ95Z8XSDJgGlzDpUYs+:1o6GunMQKrz1vOmnuEVqYN,"428863.bin.TMP", Linux executable (ELF), 27284 bytes, -, -
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/mpsl", 20a9457319f1ee2ab7acbe4f22134f96, 2261a10ac9f04fe09337037b55801628a1f54a30, f66adfd9712ea6832933f6c88c511906f9d3bf2d2b172b578a17ab48475fae9e, 768:WSzUR7p0LAOFt64WsTYzO18fIqMd4ecR6+zxGNiY9sewEWMl:dzUBpyD643czOcrJeP2kEen,"428864.bin.TMP", Linux executable (ELF), 36280 bytes, -, -
2020-08-10, "DDoS Bot elf mirai", "http://185.92.223.208/bins/x86", 72aae0f3d5d7cebba09ad1f2cbc91ddb, aba1cee360c9db6b8af133931097b98276220b8f, 7fbdf9a5ba2b89518f7f7c06ea712e433d81d7eb48656f8116dc121bdd655159, 768:AMfSJPo1YqYPAH0zeQHPNwr+UkwLAMXUAHn8ft/QnbcuyD7UVyqV:TKPNPAHobHPNeZkwECUC8fdQnouy8sqV,"428865.bin.TMP", Linux executable (ELF), 33664 bytes, -, -
2020-08-10, "doc emotet epoch1 heodo", "http://paroquiasirmas.com.br/hxdwftmko/personal-resource/interior-space/7084019-cckvTB1Aou/", 383b15246402327337beab5f545fd419, 0127d2a3343237ae1e1ee5b52d249cfaaa8299fc, 24708f9464f0c7f2f8091e4129cc2febeb1e3c7192819ac78b0143c32070390d, 3072:PEj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkCDi7VWUa4jwdFeSCRa:8HgtEWPsL/aTyT9GkGiVza4jwdQvRa,"428793.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 234436 bytes, -, -
2020-08-10, "doc emotet epoch1 heodo", "http://pioneerrealtycapital.com/wp-content/private_section/individual_cloud/996891048_JPPkbPl9/", 4c688873fff65e8b7d1b0b5382128ebd, 6836462a1b2ebb8dcd817383e82f839c037ea48c, 8cb53790369cc17c3eb9ab2611d85a6a85dd7ddf0ce7c619039c23a4c5869f61, 3072:PEj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkOvi7VWUaxjw6FeSCR6:8HgtEWPsL/aTyT9GkGiVzaxjw6QvR6,"428854.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 234632 bytes, -, -
2020-08-10, "doc emotet epoch1 heodo", "http://popprint.com.br/erros/kktp3o8n_f0153augs487_sector/guarded_portal/ioobrybdi22zy0t_x1s5/", 4c688873fff65e8b7d1b0b5382128ebd, 6836462a1b2ebb8dcd817383e82f839c037ea48c, 8cb53790369cc17c3eb9ab2611d85a6a85dd7ddf0ce7c619039c23a4c5869f61, 3072:PEj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkOvi7VWUaxjw6FeSCR6:8HgtEWPsL/aTyT9GkGiVzaxjw6QvR6,"428856.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 234632 bytes, -, -
2020-08-10, "doc emotet epoch1 heodo", "http://ymgggp.com/wp-content/open-box/special-portal/1wbu-1svs9/", 383b15246402327337beab5f545fd419, 0127d2a3343237ae1e1ee5b52d249cfaaa8299fc, 24708f9464f0c7f2f8091e4129cc2febeb1e3c7192819ac78b0143c32070390d, 3072:PEj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkCDi7VWUa4jwdFeSCRa:8HgtEWPsL/aTyT9GkGiVza4jwdQvRa,"428791.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 234436 bytes, -, -
2020-08-10, "doc emotet epoch1", "http://cricketodds.in/_r/protected-box/test-forum/BOtk44hRnSd-lnGy90Mv46Kjv/", 8c8b88af7c53b3a84e59a347a6ca07d6, 95a7ed2b3086afd14da0fd081decd59905c46622, c8ef61881c416a829a8aef596ec7665390bf5ea0dd7f5fbe08bd0a198bd6bcc8, 3072:PEj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkOvi7VWUatjwTFeSCRe:8HgtEWPsL/aTyT9GkGiVzatjwTQvRe,"428862.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 234795 bytes, -, -
2020-08-10, "doc emotet epoch2 heodo", "http://expresstv.ma/assets/INC/kp19w2w1fjb/", 444741251a1519d4b1a0be2d148c5ed3, 16cb9001cb70ba6f679458cd364e54c0b6bbc625, 8e3bd24665d5eba83f1ff32e8e3ca0301032026e2c5f30b25ff3ba5943bee8b9, 3072:Zj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGk3jA0fwwJ6WRL:ZHgtEWPsL/aTyT9Gk3jA0fwwJXRL,"428796.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 235637 bytes, -, -
2020-08-10, "doc emotet epoch2 heodo", "http://tpl-hose.ir/lmecw/334680/", 444741251a1519d4b1a0be2d148c5ed3, 16cb9001cb70ba6f679458cd364e54c0b6bbc625, 8e3bd24665d5eba83f1ff32e8e3ca0301032026e2c5f30b25ff3ba5943bee8b9, 3072:Zj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGk3jA0fwwJ6WRL:ZHgtEWPsL/aTyT9Gk3jA0fwwJXRL,"428792.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 235637 bytes, -, -
2020-08-10, "doc emotet epoch2 heodo", "http://www.albazai.com.sa/stats-json/invoice/wr32ce5/", 444741251a1519d4b1a0be2d148c5ed3, 16cb9001cb70ba6f679458cd364e54c0b6bbc625, 8e3bd24665d5eba83f1ff32e8e3ca0301032026e2c5f30b25ff3ba5943bee8b9, 3072:Zj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGk3jA0fwwJ6WRL:ZHgtEWPsL/aTyT9Gk3jA0fwwJXRL,"428790.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 235637 bytes, -, -
2020-08-10, "doc emotet epoch2", "http://albazai.com.sa/stats-json/invoice/wr32ce5/", ae51c6d0ea7b115859154de5d93d64bf, 38de44cda51eb6bdf161b701264b403c2e232027, e2f06cefbd740398fd204f4c493c939dba409e71fdc0dbcd9b5b2615ccabd503, 3072:Zj6yw1MgpQiBhGWb6esLbTh8YuyDRBFtdfGkbjA0fQwu6WR7:ZHgtEWPsL/aTyT9GkbjA0fQwuXR7,"428849.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 235193 bytes, -, -
