# Generated 2020-08-13 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-08-13, "_431968.exe.bin", -, 2acf630c0f44568e689b1363b67dfcb9, 7bdc64b72540a1c34b9f485858a49d432253e853, 1589ed066d2dbf64ea10429284c16b079fb7d4c7d17962a7fec71693a87fb9ab, 12288:NN0J6OcpFotGzdUPUHoYSq8J5IEseUOuus:NN0cu0d9mjnU,"_431968.exe.bin", Windows executable (MZ), 785408 bytes, nh:8ded30c466903dde199c93495e3a49f8, mh:e08df360a5492de7b034c3f7b396f04c
2020-08-13, "32-bit arm elf", "http://119.202.16.215:27946/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"432096.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://171.231.255.80:16376/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"431379.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://171.38.216.72:48462/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"431466.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://213.149.190.193:19382/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"432312.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://5.29.165.71:43582/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"432248.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://59.126.41.144:1196/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"431654.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://90.163.146.77:37625/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"431773.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit arm elf", "http://99.89.237.238:50810/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"431489.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-08-13, "32-bit elf mips", "http://13.85.152.27/m-i.p-s.SNOOPY", 6d427478c487ae48bd4c0398d53b4a7f, 5d370345d5a5a3866bfbc207b3ab75270aea4ca7, 754237b0388614dbacbbb479465b894855e0d5a92e4e953582d924c4dfaa6120, 3072:R/4tNF9U4vvfKw6J73x8UmkiSFxfKxbXe:BUNFK+f8T8UmkiSFxfKxbXe,"431576.bin.TMP", Linux executable (ELF), 113275 bytes, -, -
2020-08-13, "32-bit elf x86-32", "http://185.172.111.202/bins/ADfafg.x86", 668d0d8c228989230cf1dce8fc4cb153, 88b3fee287799f47e5aeb65e8ff94d018b0e8903, 989225b83e8b3b812a2be0a7120ee978a33140aa13ec8fba0b1c74c1199914c3, 1536:Yuflw5gEFTpQzH6Ne7haRjxM9GYgy+pguz6pEg:UgELuH6NetaR1M9GQ+pVOig,"431349.bin.TMP", Linux executable (ELF), 51376 bytes, -, -
2020-08-13, "AgentTesla exe opendir", "http://wsdybsskillemmulatorsdevelovercomun11pq.duckdns.org/bssdoc/win32.exe", b565a16577c8991f51296f390a97dc86, 807cc9f5c8197769966506f84932169f24e28cd0, 140103ff9a664823d2e532a35ba7ac8309d071875b4d06b5f6b275fd7fbc090a, 12288:0viehzKjF+j4VBM6FNoThQKW1lOpmHXWi9q0E+bLySRB43M:0vie0jIYMMWhQKc+aXPE+bmqwM,"431638.bin.TMP", Windows executable (MZ), 667136 bytes, nh:9f7848fdb43b6226db2817f91b6cbc99, mh:8771a71d690fe568b3b60be23982a727
