# Generated 2020-09-12 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-12, "_2020-09-12_maldoc_compiler.doc.bin", -, 514a7e535ec79c9da60cce4aaa38a309, 17c8838f6c807eece9fa0f4933da912781538168, 60399bf2cc5bd28a39f2498adcc6113fc86327872dbaa0f0b280d333c5675908, 6144:+xEtjPOtioVjZUGGnwfDlavx+W2QdA8taPHQQ4956+7PhPlNBwfd+FBqp2:Ox4L60hPlNBgd+FEg,"_2020-09-12_maldoc_compiler.doc.bin", MSI or Microsoft Office Legacy (DOC PPT XLS), 233472 bytes, -, -
2020-09-12, "_466177.exe.bin", -, 283bfed5d0d6ee09a4fa261991298fd8, d9afe369831dc17847f8606939389876d6ca07f6, 735c4dfc9d21c0c0140b6516821d27865e36d35b374fdcbbbdfb926a136e7ea1, 192:x+8C+EKS0O9ejYTDG8bcp4LlVGnieXubWyD9JEBkGxVXpqoN23RJc:xNVjYTDG8gpAleXTyD3Enx2oN2c,"_466177.exe.bin", Windows executable (MZ), 14848 bytes, nh:530514a53d0a36dae8b1ff6c6e1c7c3a, mh:ad117ad3c83d262f9b92df47f20a7d37
2020-09-12, "_467094.exe.bin", -, 4166433c8e77ae5f60363ba963a0af50, 76eec0ae7d93afcfd7d26d5f4c2cba9cc09f88cc, e0bbc8e91776ce325719f0acd97494ad6fb152c644689d24ab548b00a9278642, 384:0PGTFhql1D1yQhE339k4NcKlb5syfLy75Ct:0PGTvql10QunlNzqo,"_467094.exe.bin", Windows executable (MZ), 48128 bytes, nh:2565a6c3bbc6609b1afa2710eb2d9cb9, -
2020-09-12, "_469756.exe.bin", -, 60eb7d25e2b836380f90f4c649e66a3b, dea0f8bfae8f3ad4f56dd5cde9a0b0c1494d5867, d374371cdb12a02730ea30e173cd70a7f3ef371e86e38a1c9419cc33d96d4664, 384:zcfTZMRYiVdf2QyYI79bVNc2lb5sGSoMys5Ct:zcfTZMRYiVdu3xVVN3t6o,"_469756.exe.bin", Windows executable (MZ), 16896 bytes, nh:df572572afd2b592bc5a72a7e673c5fe, -
2020-09-12, "32-bit arm elf", "http://102.182.174.83:60422/bin.sh", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"469470.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://102.182.174.83:60422/i", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"469750.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://103.93.202.244:53742/bin.sh", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"469708.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://112.234.75.134:60754/i", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"466581.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://118.79.177.40:58947/bin.sh", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"469425.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://118.79.177.40:58947/i", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"469757.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
2020-09-12, "32-bit arm elf", "http://119.165.254.151:34491/bin.sh", eec5c6c219535fba3a0492ea8118b397, 292559e94f1c04b7d0c65d4a01bbbc5dc1ff6f21, 12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef, 6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,"467405.bin.TMP", Linux executable (ELF), 307960 bytes, -, -
