# Generated 2020-09-16 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-16, "_531934.exe.bin", -, f25337847f809c4cf5ea24a4a9af0c51, 8a5990ef0d9f488eb4cb4eb1c636f7819f155a3f, 33004fa7af4e98bde177120ac7e8513ade349c988d24e3606cea70f9c75a704b, 384:uPsqS+ER6vRKXGYKRWVSujUtX9w6Dglo61Z5DVmRvR6JZlbw8hqIusZzZkA:uEf65K2Yf1jKRpcnuu,"_531934.exe.bin", Windows executable (MZ), 24064 bytes, nh:16f8a2279a3e285ba1279fa651ae433d, -
2020-09-16, "AgentTesla exe", "http://gooddns.ir/bobbyx/starx.exe", 2689e0bd727c85849f786822b360cd28, ae242d8709f588cc91f9ab814a5efeb6c1a160bc, 37a4202e64f88ef928f46cdb05653527a1201aaffd431022eececff19348515b, 12288:24jGha4fxBa4wlDKffkMZvhxgnjeQZbzO/p1nZeeIItJ8HzYsX8q:2KlaBa1sMMZvIniOzOh1nwIQH0G,"527357.bin.TMP", Windows executable (MZ), 731136 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-09-16, "AveMariaRAT exe rat", "http://gooddns.ir/bobbyx/ndaboski.exe", feaa84b9f8d7077a9ef9fe2c49938cda, ea895e9ed65f3994b3cae43519a02b0c4883f1c0, 3486e3c616d71642a50658f1878c3254c26c53d328888deaf50cb18e92f0cb9f, 12288:D9+UFSbzwd6xyFjH8H1NDNCqovrO4hCnwsTfF7gb:Z+pbzwIxk4VdoqmhCn57Y,"534681.bin.TMP", Windows executable (MZ), 689664 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/ajoomk", d434c36fa66fe216ba0741004a8e1bf7, e025acbaf30fedf3cc95bcb9ca2de161f1c4c8d9, 029c69f194406012ff025384dbbf342000e7874591b5bbedd5b96c801cb99494, 3072:l2JD8ny1Rp5YLPKIVLY5pR4b0yPUe1BOlV7nkomPs0ao8UtKFX:l2JLYLiIVLY5tyP514lVkomPs0ao8Uta,"527510.bin.TMP", Linux executable (ELF), 176561 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/atxhua", b55867052e731aa3cd6585d3d48069f5, 80e6444df764198e8d7265bd3aa42c5ee8f905f2, f99ce0543495b2fcd2298bde02df122d6641d4fb91fd10221ea1d34d6c4cc431, 3072:KYq4CGXq11zXqwL5StNZf1t3aLUUGPNEibtNf8eNgJs12phvc5PsEsEUxxQLqJlC:Kl5nXrSo95pbpMoZCQ9gOS1SeX,"527389.bin.TMP", Linux executable (ELF), 195725 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/cemtop", ba12265ecc951caa380380f4a3b4eecd, 2ee703ca61629e471394e262d6c1ec771bedace9, 3bf6b07fd7a40cb02384241306fd389c64c963b87d34466972d1fddabaacf41f, 3072:n1QdkyRYZs1l29Frvaq8qR/49qHEkuOSX:n1QHqu1M98VqR/49qHEkuOSX,"527521.bin.TMP", Linux executable (ELF), 240420 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/earyzq", 7b649c810e3a3052029ba2327d388579, bacc9eec55f4d1069874ec60b992e85d781a1cea, 28abb9929dc71bb99389fafab10e2bfa71b7141bfed05b0cdde408512f0c2ca1, 3072:R+zdQ0XLevCgBhtC+u29Fri1/KzqR/49qHEkuOSX:kZQ8SvlBe+x9cWqR/49qHEkuOSX,"527347.bin.TMP", Linux executable (ELF), 240420 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/fwdfvf", 25e804cbae5b4c020add96e979e0d154, 39dabc0d01a902f2e589f272a4802def59a8025d, f07c4da6316077a0675a383fd9d6b436bc024a12e075cc0b262c202654575eca, 3072:X8VcYOZNP/em17BmzPGdc5X/HEEaq8UtEiX:X8VD6lvKzedsX/HEEaq8UtEiX,"527387.bin.TMP", Linux executable (ELF), 211785 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/lnkfmx", 00b4d0f8756fc749782a85b2dd408329, 1624255b362214fb29146cf0adf4cf8eb0bffd1e, 55f946690891d3b2797bdafc24c06729555a21bfc4b0bdaf3c6f93d1ea96bdf0, 3072:J5L/8hXUJnq1fMV6adonSRl+3jyhtOjjWtJ2vi7UUfWSDP8zumTkAreB0X2cNGUu:J5JaBwhsTOu1rY9KDsPHs0aozetKNX,"527331.bin.TMP", Linux executable (ELF), 189761 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/nvitpj", c7fd2d496d28416c83b7ff4ebcb004ef, 79144783c06470b34df9beb2768795a4292f0c71, 3f0a2424221f8ce300f636385625f4b86845f0374a35a10796bba77217d45542, 3072:k+JGgYQ9ACfN+MI/kWX4dT6+IYuyoJWtT9raedxGzKKP9LKO4VmNZKh64FCtZp2p:k+JVRvJaP6wZHtS9VHqlmyN4942Yk,"527554.bin.TMP", Linux executable (ELF), 208675 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/qtmzbn", c09938c9f7e88f0bdc5ad3557167a86a, 2e1f2bff5854ae78e249103e66207f868d1eca45, b230c8eba2e260222fde4031e5c98becc537bd51005f5abc77c8917312d4defd, 3072:BhG4IGXq11zXqwL5S5NZf1t3aLUUGPNZibtNf8eNgJs12Zhvc5PsEsEUxxQLzJln:BUPzfk69D8xrbY11EoO5Dt0DR1M4X,"527338.bin.TMP", Linux executable (ELF), 189163 bytes, -, -
