# Generated 2020-09-18 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-17, "_2020-09-17_LuxNet.exe.bin", -, be90f481e02b0ace7a206870a15e8ffd, 64f6698bb97c1908774326deea77b96fdefacbc7, 1717f043b5ea0db5a43ef7bca9820a3c656dca8336139ccc499683c63ad0f1c3, 6144:8cEY8S9z94LdvpFhstYbKpsm4KvTRdFSdEVNm48uu8673prafUDu+7:8cEY8S9z94LdvpktHhSdEVNm48uu867l,"_2020-09-17_LuxNet.exe.bin", Windows executable (MZ), 242688 bytes, nh:c0be7ab9c78a8fe6fc39da068795556d, mh:5215a5eae3ee88dda6f770417d1b9ea7
2020-09-17, "doc emotet epoch1 heodo", "http://acumen.com.bd/a9jgivl/public/XHnDDkf0qu350N/", 67cca499c379803d13622fe1685d2594, 4d6263c791ee49e972897d7595042ca0855bd386, 850576cea8a5bb3ce74dc5287f0f8c9adc2e80fe5c724430473342010405ae4f, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////Q:C0uXnWFchmmcI/o1/D2yIRq,"548387.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258806 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://advanceddisposalsolutions.com/wp-includes/INC/8QBOD7umUwgz/", 42d247a73559d849b091501f99f7733f, 8d7ac7d694669f3e110f6257156e0396d7a219cb, 81d027b0e5a40c25e1c6ec2d5059e010257104ba72b95c1b1121cd92402fa0df, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////S:C0uXnWFchmmcI/o1/H2yCRq,"548248.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258014 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://care24hospital.in/css/DOC/aVdLZG8S97evzLswde/", beb9d3f80bd408dd836b5165cae6f8f3, faf09b2341b54ef8a2691c39f54029aec4581bfe, 34b15b42e273bed623a71d9741f6e014e2cb66208a8891ba1e092475d629173e, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////o:C0uXnWFchmmcI/o1/82yVRa,"548475.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258052 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://cojestgrane.simplicitygames.pl/songs/LvJDK530cSq/", beb9d3f80bd408dd836b5165cae6f8f3, faf09b2341b54ef8a2691c39f54029aec4581bfe, 34b15b42e273bed623a71d9741f6e014e2cb66208a8891ba1e092475d629173e, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////o:C0uXnWFchmmcI/o1/82yVRa,"548425.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258052 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://earthnet.mx/cgi-bin/7127EEYVE7961L/WqlHLdNFI4qhUptoH/", dd79383953ec578ab0e7795247795b5a, 6416265f37e0af93823f7e96fb19e1593ed2d8da, 1bc4a47d0fe2369993ff6f11e93075f7e441de5d443e88719a9787c43f6a277a, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////s:C0uXnWFchmmcI/o1/A2yFRq,"548182.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 257166 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://itrust.com.ro/back/public/NWpdhKucntzg3JNg/", 67cca499c379803d13622fe1685d2594, 4d6263c791ee49e972897d7595042ca0855bd386, 850576cea8a5bb3ce74dc5287f0f8c9adc2e80fe5c724430473342010405ae4f, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////Q:C0uXnWFchmmcI/o1/D2yIRq,"548351.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258806 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://paulscomputing.com/CraigsMagicSquare/03939528195/bHYiVTV5nSJFvSIVjSKG/", beb9d3f80bd408dd836b5165cae6f8f3, faf09b2341b54ef8a2691c39f54029aec4581bfe, 34b15b42e273bed623a71d9741f6e014e2cb66208a8891ba1e092475d629173e, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////o:C0uXnWFchmmcI/o1/82yVRa,"548396.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258052 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://timegonebuy.com/closed-resource/parts_service/wwvziSc0llzpGMqgwRfb/", 4992e2cea60dc078f15adab660a2fb53, e2aadabe7130fec322200b72d7912f41c49e8e92, e3f5d34d1e8fb95aae2eef9545ac36a8ce040c07ce53b19fadcbdb7cbb9c39b1, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////E:C0uXnWFchmmcI/o1/X2yARO,"548088.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 257773 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://www.sourcetechno.com/wordpress/public/zUfO5zopMXo7tiulfT8/", dd79383953ec578ab0e7795247795b5a, 6416265f37e0af93823f7e96fb19e1593ed2d8da, 1bc4a47d0fe2369993ff6f11e93075f7e441de5d443e88719a9787c43f6a277a, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////s:C0uXnWFchmmcI/o1/A2yFRq,"548061.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 257166 bytes, -, -
2020-09-17, "doc emotet epoch1 heodo", "http://zgtaiji.com/uc_client/eTrac/3Bl2OpI5DMoQyaxhH/", 67cca499c379803d13622fe1685d2594, 4d6263c791ee49e972897d7595042ca0855bd386, 850576cea8a5bb3ce74dc5287f0f8c9adc2e80fe5c724430473342010405ae4f, 3072:6Yy0u8YGgjv+ZvchmkHcI/o1/Vb6///////////////////////////////////Q:C0uXnWFchmmcI/o1/D2yIRq,"548586.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 258806 bytes, -, -
