# Generated 2020-10-06 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-10-05, "AZORult exe", "http://192.236.178.80/7z/0617773.jpg", dd579f328b8a2ae8d6e703ff0c1e683c, a6aec62d47b295e23d282c74efada1720007e8c6, b2fe9bcc932ea65ec98318fd983e862172123cab111e728d97c23258749521c7, 3072:k7jSxeAWKf+0J4shKDZtjk7r2kZz0OyB1BgA041XFl9L8mHtsC7WDp+sCIEEr2Ud:wKf+0/hitjkl6Vgz41Ds9EEDM,"656526.bin.TMP", Windows executable (MZ), 308736 bytes, nh:e9a93335ffc596e6c338417f47a6bc39, mh:8b24d557e267e4c778acd534778fb27a
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.arm", 542f5ab7bd5be808a3445b3cd5a7b53d, f9a52dd2ea3bfab10112af206c663fdad341ceb1, 410362b5032902eb694f4b1b6c0957fd5f30431a9937ac2ac0efb8a39818ae17, 1536:hzfhWp4L9B8outRhu96TUQdXtfavKx3V88HxouJeZWDFI8qM:hzfhWpXT8eCKw2FbT,"656283.bin.TMP", Linux executable (ELF), 71864 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.arm5", b45597b95c34c85f58a95fb367bbeba5, 86d2877d308cc11e0678303caf026fb44eda27e6, cc230472d89ae6a79be3ee840b8cab7507c133501af577d95ebaec943d5e2c63, 1536:dOxGlZ2yn3chsbacWiXW6M9l/yTBplu4Egjp8h9y20Yv6k6YceZWGzDKMH:dOxWZb3WzXX0Q6kVcwL/H,"656282.bin.TMP", Linux executable (ELF), 62680 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.arm6", 9cae755914d048146596292892701f6d, a23a2965a820ef55bb1cf54c6e5ca82785730325, 7da6d22b5d55b42cd7de4b8da3a8b153d19c325e8226c09e1ed22940c7f0dd81, 1536:29nh7t24E7yFVk20ytEC+1Z4YTjaJuBBPYO9mrsplDKZUlQBKXAVan1X+F8Jyvux:qteyrknytb+v4ejSuHd9mrsplDKZUlQ0,"656286.bin.TMP", Linux executable (ELF), 83072 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.arm7", c5b60c79df1ddd033c5a10a3214aaa1a, 512078b349e202c6da4f4d3c179358b966bc1179, 4d1fe15cefb769efc9407e0978839df36392692003a4fbb8d062e91303536e22, 3072:pO3gg6ZpK00mhTTIhdt9mrsplDKZUQQBKXAVanXX+F8JyvGPhLZ85iBMR6yoC1QN:pO3gg6ZpK00mhTTIvt9mrsplDKZUQQBk,"656284.bin.TMP", Linux executable (ELF), 145189 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.m68k", d343d77f2c51ffaaf7c301193077f42e, 0ae6faf27084ecf546b676e08ecb9d191a4a1ef3, d4d9bc6e089995bff237740b1bd7fca1dace7a9e93f0b444d6bce17fe7cdbc37, 768:mYuzJseSM+5D8cOSyA3TpK2h7JJOUR0DCGeWxnytvptM7edUo+f1prazZQePbL:mYqa1M+tOSX3TpKV/eU7edJg1pmzb,"656279.bin.TMP", Linux executable (ELF), 54336 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.mips", 5ffcf45be39bf7136bdd731c92927ffe, ba2bdd05c967ad200579104df5fe82bb5846d0de, 6c5c59b3ddebe1d520fab5f80fc804361a05bcb85c59edc2efd7b4ef20ed8fcd, 1536:K/YRdrDd6C6gb/ZVyDYjMbwqZ9f0vfwW9ufY1C+KBtyRirfXDOiOD38:KgHrD8/gb/zyDv9f0HD9FC+KBtyR6/DB,"656281.bin.TMP", Linux executable (ELF), 89332 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.mpsl", c2d1de1c38ff996eee45019834b57dda, 1da53886e75c932e2981a9e8b8d60d8c57b84e63, f0c22ca00d66602992ab58675e2bac69354cbf22050f9f1a7f3ac7bb0c5df8b0, 1536:zUYsxrXP40ODyPwHRQ9PlzTRfyToNoZqVi:zLsxrKDy46NG,"656280.bin.TMP", Linux executable (ELF), 92100 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.ppc", 0433051e6180fef3ce92283cbab12fb4, a29ae601359de9779b88783d775d6a2e3b0d50c2, e5869e39fc0a11d72802617a21c7dcfb12143d78f964056f187fab0a2424cfcc, 768:nIiJ5+DoVsS+5voNV9o0p8BJAIGsllk5M90eE6Ou4TlW2c5sjgi+DDiZ/vkBbsVf:YDca0yJJzk5cfOxJgbDOZ/vkuN,"656288.bin.TMP", Linux executable (ELF), 66468 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.sh4", 2a4316753787886cd8a3bf506a1a4b53, 5895fab8392b4aa5ade4b72f4762bb653fba1bfe, a9b124dc982bcc207be5484ff6b5a2fd2990e5508a5678db83e32fd86d13a379, 1536:sal/He90IlrkHkAPf+2JCs2F/S9/Sfs3zO/QSwtPlCX0i:sY/ejJkHkAPfyF/Swf+iYdtPly,"656287.bin.TMP", Linux executable (ELF), 66368 bytes, -, -
2020-10-05, "elf", "http://194.87.138.17/lmaoWTF/loligang.x86", e56c2e1bd1ce3ea757452e586fa60122, 6fc376b9de6dca3f477eb230741179bdaeaac17d, 0fbb15a322b14a60ab881f907cce156afbf565b9fd3d2a40173b39d895a2cdb2, 1536:IL19G7O9vwitb/XZz+aXtEgTTr5eSW7V/DjObeFt6PuQ4E:09G7O1witb/XZz+aXqCrQSWZ/XObeb6k,"656285.bin.TMP", Linux executable (ELF), 66136 bytes, -, -
