# Generated 2020-11-04 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-03, "lokibot", "http://192.3.152.134/nda/vbc.exe", c3625ccbd503205305fbee104c373165, fa9672023268a4f6bee24d9c78dd21af2f3c7c7e, 9ebe51e383ea0bdd41359e085172e6555e9f7e24cae16c128f84b8def85f48ad, 12288:fyGF4w1MnOL8lPVm6J4pOzfNJnY4kGDsfQcnkV4A80yJiskcTP8:rTMOsVm6OCfNJnjkGkE4B0vsf,"784290.bin.TMP", Windows executable (MZ), 759296 bytes, nh:cd2fdf6c6bac672bb10f9dd0955b1730, mh:570125aced52dcf9a738a85f153658b9
2020-11-04, " Zeppelin Buran Ransomware", "http://forcecareer.com/effo8yu.rar", d18bf81dbc8acce488abd633d8058cf5, 1d6dcade355b4867e9435961655a9b9caa373528, 4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a, 49152:OzOJB5ZJBK7/stk6SY6stAHzUfj7a3MTP4ivpkH:OKBtKzatHa4JY,"786033.bin.TMP", Windows executable (MZ), 3500897 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:17768dab3949cdbd2551b96a20d70462
2020-11-04, " Zeppelin Buran Ransomware", "http://onw.kx1.in/dav43a5kq.rar", d18bf81dbc8acce488abd633d8058cf5, 1d6dcade355b4867e9435961655a9b9caa373528, 4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a, 49152:OzOJB5ZJBK7/stk6SY6stAHzUfj7a3MTP4ivpkH:OKBtKzatHa4JY,"786036.bin.TMP", Windows executable (MZ), 3500897 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:17768dab3949cdbd2551b96a20d70462
2020-11-04, " Zeppelin Buran Ransomware", "http://shradhajewellers.com/u05gq1jj.rar", d18bf81dbc8acce488abd633d8058cf5, 1d6dcade355b4867e9435961655a9b9caa373528, 4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a, 49152:OzOJB5ZJBK7/stk6SY6stAHzUfj7a3MTP4ivpkH:OKBtKzatHa4JY,"786031.bin.TMP", Windows executable (MZ), 3500897 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:17768dab3949cdbd2551b96a20d70462
2020-11-04, " Zeppelin Buran Ransomware", "http://testwebsite.taxauctioninvestors.com/xugin3qu.zip", d18bf81dbc8acce488abd633d8058cf5, 1d6dcade355b4867e9435961655a9b9caa373528, 4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a, 49152:OzOJB5ZJBK7/stk6SY6stAHzUfj7a3MTP4ivpkH:OKBtKzatHa4JY,"786034.bin.TMP", Windows executable (MZ), 3500897 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:17768dab3949cdbd2551b96a20d70462
2020-11-04, " Zeppelin Buran Ransomware", "http://vidrioindustrial.com/h6mkgr.rar", d18bf81dbc8acce488abd633d8058cf5, 1d6dcade355b4867e9435961655a9b9caa373528, 4e0d1edb76747fd945b87dd18299298f0df719edbea946119d91db59a9b6527a, 49152:OzOJB5ZJBK7/stk6SY6stAHzUfj7a3MTP4ivpkH:OKBtKzatHa4JY,"786032.bin.TMP", Windows executable (MZ), 3500897 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:17768dab3949cdbd2551b96a20d70462
2020-11-04, "AgentTesla exe opendir", "http://78.128.92.94/business/vbc.exe", 6b6e939e139a5ca58443715a35b5582e, 404b0936361dccb4c8960910a179ded0a6335a10, d9558d1d57b828c004184004ace0763b53e65ad5fcf03bf2eca1217b97238184, 12288:PajfAfgPtdPE8EW/TPW0bn/Jzeh5FI3IN5TVyJwNJeVxIyYUePmU+:+4YlQW/yFIWxyJ/xIyYUePmU,"785376.bin.TMP", Windows executable (MZ), 673792 bytes, nh:2e06986af011b4cf07416c869fa5963f, mh:4418cd9f7230183f5cbf537b8d89d8b3
2020-11-04, "AgentTesla exe", "http://192.3.141.139/doc/peace.exe", c74a4de1af2ca02c62ab19625eb98b8b, 76476270d64255b25e948697cb37f76f7bfcef91, b249f7a490d6e8b8af9d0d3ea4852ed382aa2e23d5e732c2592e979f42075ab9, 12288:xH1yqXdSFx8lL+ut3gqQ1+97Mz2HqGCdL6r5SX1k6Xqv1+wvHI1E2J:DtdSAlCueryoz2mGoXy6Xy4SCE2J,"785882.bin.TMP", Windows executable (MZ), 598528 bytes, nh:482fc6f6a3d2617b1a8fd074e085fc55, mh:4418cd9f7230183f5cbf537b8d89d8b3
2020-11-04, "AgentTesla exe", "http://23.95.13.131/doc/bob.exe", 97cb8ea6cb97811e07cf485bf4187e2f, 96bb18f48b59294d37a7196997717ef4353f14a4, a5cab0a179d83d27c7cddb804f83325d5c47825b09150dd80c1ec55033d25b74, 24576:ClqeCifXMyAVuske++/LFBVle1X1tks9dV:ClqZPyAMte+2LFq2s3V,"785883.bin.TMP", Windows executable (MZ), 949248 bytes, nh:3a248637e565da1157307d4fa1a735bb, mh:4418cd9f7230183f5cbf537b8d89d8b3
2020-11-04, "AgentTesla opendir RTF", "http://78.128.92.94/business/document.doc", 926c7c3b1010b8599d883fd9caa04227, 2dc226296b29273f64c702f69e21cc5a05680bd6, 1228ba2604d0a579845a1dfdc24e4923c184e1295d2af972063d76d64b33ef99, 192:IICS1hu/PhdAPvv0gNZJmZGZMZkyf72evFfOlzQ/vka4Yr5:IpSrshWPvv0gN70kyf72evFWlk8a4Yr5,"785373.bin.TMP", RTF document, 9962 bytes, -, -
2020-11-04, "apk  FakeCop", "https://sepost-h.top/PostNord.apk", 0709c70a7841f32022a837b651998b3c, 2611386b9ecdc5a9dc94c1a3da1ecfa5f3d60e71, fc00eae7d4ae3ddd5b41d840bdfb7dfaa7170747d1b29507cd4ae089d839db12, 49152:48QSgbXPI9oOAvjNIdER9mR5g7rhtSOE6nfkuH2NU1T9kQ90YgitiZIZUREojc+Y:of+oHNmsC/6fk2F9ks0YZCcJo4Vdl,"786703.bin.TMP", PKZipped file (Office .JAR .WAR), 3086297 bytes, -, -
