# Generated 2020-11-25 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-25, "apk  FakeCop", "https://singpost-h.top/SingPost.apk", 0d941529a40e3eed95426ccc9660b738, 9f50db6bd47fddc52ae0b53e9ba0673ad3bb3301, 70db3f0cd0b8c3675ab1fe1a5309b64c0a489d62630f33dd7faddaf4e9a46e27, 49152:tu7mWimpqBivQ2faRNn3+THEbcDLsLUUEfWY+N+7uf+B7UCYA5XNg57dNqFhL:tDWimpqB2Q2CRp3+AcPsAjfWY+NEzXNT,"852080.bin.TMP", PKZipped file (Office .JAR .WAR), 3075496 bytes, -, -
2020-11-25, "bashlite elf gafgyt", "http://185.239.242.8/gaefds.arm6", d8bfc3b25c30541c7af98265fd59759d, b96bc83e489b41ff7601ccce916fa865acb2a439, ca4bdd9549ff3c482df00f1478e2f375683cd7f175decc3e96355b68028c2c5d, 3072:mLfltud9pSeQoIjzpCNaoBxbWr0PrYCVo45hw9qiOtDDRSlXCmy/QsYJ0Yj/:+QNaoBxb1Vj5hw9qfzmy/QsYJ0Yj/,"852270.bin.TMP", Linux executable (ELF), 130434 bytes, -, -
2020-11-25, "bashlite elf gafgyt", "http://185.239.242.8/gafdse.mips", 52ea43f57415736f735be57e1651bb43, dcd74f7ef4907976ba991633dd7b7ea37b862473, e5b0293f281e997b786d173a851fe729fe48c51aaa07ae052c7e8aceb84f2259, 3072:cf+QA1GUgoTvxNyUUuHFm6vmc85XKaV2MCq3O8C7MK+emub5hmk6r3FdU+F3xemG:bB4KDXb5hmk67U+F3xemqY1fuBmvm,"852267.bin.TMP", Linux executable (ELF), 137917 bytes, -, -
2020-11-25, "bashlite elf gafgyt", "http://185.239.242.8/sdfza.m68k", d22dda840054432fcb19c8ca57221cbe, 19511bc3366d86f79a4a25b58e19c56437b10033, 24835e83f74bd114943802836dd4f21b57b8bfacd90af55294dd7250efd40464, 3072:M3VJgD/afnGStZbbIyQa7J3p//LINHmFZ09DRAoQfgm:M3VJgbafnGy6yQAJ3prINHmFZ09DRAou,"852271.bin.TMP", Linux executable (ELF), 109369 bytes, -, -
2020-11-25, "bashlite elf gafgyt", "http://185.239.242.8/yafsda.arm4", dcbcdf7fd3982c539a97a5600bfb1535, 07656de982434a212f361b38074c206cdb031c25, 4ffad2c022b57ca7065964ef101b644a9bcef9e569f12f2ce937d5f8204c9b56, 3072:O9DMjalFQEnohuWZsh4a0a6OXJ5hsZbFI4ft7HoDQHDVpZAlvm:EhpJ6AJ5hsZbX7HoDQHDVpZAlvm,"852269.bin.TMP", Linux executable (ELF), 109494 bytes, -, -
2020-11-25, "bashlite elf gafgyt", "http://185.239.242.8/yasddfa.ppc", c53b8c3101b421fe66726d0f3d7f797a, 7390a2b80f5f341f7181bc26b31f28bf69ebb4fe, 94854e41d00f7f7f946006e15c5c05603d80e5a25565946c83c8cc67279edf92, 3072:VVPqut16M7RYFs5hB0JtskNUZ09DRDWQfgm:VVv16MV2s5hB0UkNUZ09DRDWQfgm,"852265.bin.TMP", Linux executable (ELF), 104108 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/a-r.m-4.RAZA", c0d52f1e079c14aea08490e62210a521, 26cc4156f8c9b70167e29b026869c1d9d77f5306, 5d1f265e01c7456279e8a004cbc6afce0a7a66844890f881b8844c8942113cad, 3072:c4K5cMvbYAlnPr2iw1FqmCVrQAFiOXkYe:G5cMMAlnPWqmCVrQAFiOXkYe,"851592.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/a-r.m-5.RAZA", fb2ed80aa01906e3f770fc88c9f93469, 361a7bb4e6b9233bb380f714b5b90a19e09ddbd0, 389dbe4ff494283e583ba6b8e1b5630010654a9b98925b4a24d805ee743b7751, 1536:BdFRTHFN4PTD/xeR0ndfksWkiq1ia7PtG3xHOSzFPIcZe+u9hMyWmREqQ4b/X7X+:BbR4XJeRoHL1z83rFPbW7M5mREqQ4bvq,"851599.bin.TMP", Linux executable (ELF), 93278 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/a-r.m-6.RAZA", 76ddd19c2f6388fd48ced341ac77dc2e, cfe4db1fd53de30242e74c6d93459f1059317e52, 5524cd4754d063ebec47691a4ce6ffd62f517bfd66f56e6ec80260941184970d, 3072:o7Hl1Vahec8Tt9OP1/NOclDojUbmTQOWsXAOn:Ql1Vahec8T8OclDjbmTQOWCAOn,"851593.bin.TMP", Linux executable (ELF), 115110 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/a-r.m-7.RAZA", b212d7b7d7055271c0700e4abc9d3e4d, 18155d6f753a58f24868ba2986f53341a488fdd5, c4cd0ae1840b2d86a2473f16a4b5dc85451baa669e0dd00b80e915cfecd31357, 1536:EQpFw1knlpqhXFLC0cz1dW3ISvRd4SS31rREmQ9VqXjtWf2Xe:ESqenG1zcz1dW3FpSldEmQ9VqXBWf2Xe,"851601.bin.TMP", Linux executable (ELF), 88786 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/i-5.8-6.RAZA", 85c4283b9259a44b6533c505b57e2303, 8ada80927ace501148be34c650ae8c6199e50bb8, bd7e62e62668aed648875942442d6ce0e6569856e604458eb57ef19f94e5cf46, 1536:c41OFzc85gDbAG/g+QmumEIsuV9ebTcqyl4gV6j9Y1TmQ9VqXjewf2Le:9kFzDgDJ/9TfCbTcqyl4oVJmQ9VqXywp,"851610.bin.TMP", Linux executable (ELF), 93261 bytes, -, -
