# Generated 2020-12-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-08, "_899457.exe.bin", -, d2143133b45d9a684c06edb3b9b2c81c, ebcfb9a444fde1c6622e06d27e12177eaf8306b0, 22ba4198dd80989673a5db96ec9a50b4bbd45931c98636aba17443d638ef937c, 768:4Fv2c5GPQApbjavalx/KTsmeRJew3JzH6xa348KmW6MlMgBKUf2hS:4Fv2cIPFpbjBlFKom4JPH6xa348XzgBN,"_899457.exe.bin", Windows executable (MZ), 41400 bytes, nh:9f406f3ea53390722e3c9588b1bc35f1, mh:2e3186327e64dc630263fec4e5347698
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/a-r.m-4.ISIS", 0a8791a8b4704ff302f9770c76ca0c44, f4524a19f9fdf6c9608116185b82724fa16391b3, 8beda851cf45af60f7afce883f1d57d26ff11a7381f4ff71a2b3b5a7c7a51a80, 3072:dl/ajeRisdMbOT5JH7L6XyEmGVrQAXiUXouX:+judf5JH7LomGVrQAXiUXouX,"900559.bin.TMP", Linux executable (ELF), 112657 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/a-r.m-5.ISIS", 23d5a8cb3e98aefaaa77b1587936177d, 15d48f2386845da7b8dd3a92b7e107ad83efd72e, 4e315d608d89033038cb2614583a28f39db1155d671ae842a19694b3412b95ed, 3072:mlHyjeRifxwfw4Y1c73n1UmpEqQ45vVXY0X:rjxxqPY1c76mpEqQ45vVXY0X,"900562.bin.TMP", Linux executable (ELF), 105111 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/a-r.m-6.ISIS", 3f244c480614a03c93b6feabed547412, aaf00021ff3d87f689a8ad4413dd0051a517562e, 4578ddde00f163ada80a31af2ee7c171f76ab581c816f1fb239eb69b40e4ca3c, 3072:id86mYaC+KVXPi4jvYx+zgDUt3hZmTQOIsXAqE:S6YaC+Kte+zgDaZmTQOICAqE,"900563.bin.TMP", Linux executable (ELF), 127529 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/a-r.m-7.ISIS", 46e7cfe556930120ace4173b1b2d3d77, 07f935d027a790e8065da3d4476a2dcf0f514802, a3c13e12705163843c89667d0ad208b716f29d549f94b44a9535d0631c5a1f67, 1536:tZQQ3Ey9pIt834XFWRbo2AcYlcnL3O21aPYf7kGCEmL49VqFjtUfkjX:fpDp1Zb5alcnL3RZzCEmU9VqFBUfkjX,"900561.bin.TMP", Linux executable (ELF), 99031 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/i-5.8-6.ISIS", e509bfee2c3ecbe979f9cdd11886db59, ab966c4e86b8888f6717a60e4edc1c37566a7e1b, 9ee46fb5a6450fe646c189a2390d41bcbefac0e07fdb5b5976125b3a3622a406, 3072:TJU+S/GNnLtsmTrtAfC1ym/iiYfmU9VqFyOfk/X:T1SuNnLtZTxymDYfmU9VqFyOfk/X,"900566.bin.TMP", Linux executable (ELF), 101822 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/m-i.p-s.ISIS", d8a26059e3268ad082cf815f2f5b0f9c, 3f9eebc9624d0e3ffcfe7eac1b2ef925498e34d5, bb9f24db338fce6147b3c3695f937c0564113f69dc1423fa1a441eb585e5ef69, 3072:76nyHPxFiM0PPl7n29lBJYEdmHDajKrKcNu7NVFcR5dRF963+ZWL86DhB/ZZ9B83:qCnZSZqDJeUmkASFxBKvXZX,"900564.bin.TMP", Linux executable (ELF), 134222 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/m-p.s-l.ISIS", d9b94a5fa659378e7ecc6b29f0b1ab05, 57732929190f461d6aeaad4620e5b92954407ba9, 391bca2ffaf20ee993eae9f6acf790fae7e75b281646da9625c269f3958a4fb2, 1536:/KbeTpv1z9DERkLMurNpZ3efJp68E1wYqX7d00PUmkVmSFxBC7vXZX:/KYv1xLlrvJF1Q7dlPUmkASFxBKvXZX,"900560.bin.TMP", Linux executable (ELF), 134222 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/p-p.c-.ISIS", 0a8791a8b4704ff302f9770c76ca0c44, f4524a19f9fdf6c9608116185b82724fa16391b3, 8beda851cf45af60f7afce883f1d57d26ff11a7381f4ff71a2b3b5a7c7a51a80, 3072:dl/ajeRisdMbOT5JH7L6XyEmGVrQAXiUXouX:+judf5JH7LomGVrQAXiUXouX,"900536.bin.TMP", Linux executable (ELF), 112657 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/s-h.4-.ISIS", 94b22ed869cc84f5a82f2b6032ca315f, 13a0a52ab2a95f519655c9724dd4b5c170e74cb3, 3c4efef8f717da6c63c92b95b0a14c0b5959ddbdeea9d700714c8d1b292e6698, 1536:n787uRgIQ9GgbnaRKZmkeRKaV4Ui/pFSOCTHINmW49VquLeefkcX:nQRIQxbna4ZOHV4LSOccm79VquqefkcX,"900535.bin.TMP", Linux executable (ELF), 94360 bytes, -, -
2020-12-08, "bashlite elf gafgyt", "http://34.218.234.175:59440/x-3.2-.ISIS", c01986599b4e8967eb6b9866e61cc2b9, f698a126e572f82986edf058cddc074f6e8cf01e, ca9528b34b04ede7c921380e562b0090680f027ae8fba0a9f3c65182d289e987, 1536:PIsmabizXPm8VjWWHjsc6rB3QlLShKW6GLdUF5MI5AtpgwiUeCHfV+mLI2VOYjX0:PGabizXPm8VjWWHjsXrBgl0nBUF5MI5d,"900537.bin.TMP", Linux executable (ELF), 86409 bytes, -, -
