# Generated 2020-12-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-25, "exe VoidRAT", "https://pastebin.com/raw/BiMZKGR0", b5940d5ac06d01c82732b296e16dbc3f, 6b3004296c152424a9309d634441441972c8d5aa, 37ead21af636acbd4b46af85c590a2f68d0e18bd579e39131e9fcdf3aa7a2f5e, 12288:0ToS5j5YVvZI9C7kLjEK/p2mGNqE0bw/x/G4fbq:01ivZ7kLjy3bq,"942182.bin.TMP", Windows executable (MZ) (Base64), 475136 bytes, -, -
2020-12-26, "_942182.exe.bin", -, f981178fc98895054d5c93aa8384a2ae, 33087212eff514a541f9666d9fc325acb5c252c3, c4c8e6d34090b2d68aad28fc0ae0d8630c4a8ee58169b0f30600b9f50713d5e6, 6144:+bqQ4i1FFiEK2amHnnjUk+9xdbc0damTYgLhZPm:gpliijU53u0d7YwhRm,"_942182.exe.bin", Windows executable (MZ), 356352 bytes, nh:248e7ef0e9bb0669b256789784dfb4b7, mh:6a083d59ea23091a5dea8a4365311076
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/armv4l", 8c701ad70d2c822ee102423c778152f8, 0c878df31724f59dccf99bbf04432e6570c8e3bb, 816f3fed309abceca69d8a997512a5ba328ae8cde9f7ce399ba01cdc1f86db62, 3072:+DShVLkDZ6waCAdcl3bYJOmP46aQyfPluesNb:VhVeZ6zcl3boOmP46aQyfPluesNb,"942350.bin.TMP", Linux executable (ELF), 130115 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/armv5l", ee53566ad0bad307ee12ab520bb87497, 428940b3a3a914798efeb54f0c0229e91bddd98c, 65648a073f33c255c36617c383a14a81da1efbc347727baea00febc8609a104c, 3072:FDcYVLWKlAQTv+mYHbpl2m7/L7QsvmGugiNb:WYVxlAk9YHbH2m7/L7QsvmGugiNb,"942349.bin.TMP", Linux executable (ELF), 125009 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/armv6l", 3062df286780a3181380ecfdf451084b, 8501e5c57f9e6f31377f055e0e70c252da7f87c9, 74496e058a244f023d509e1277115dadc2f17fdee3b2455bf7cc3d0bb8a973cd, 3072:Z41HOuaGVV3NfHUOjqylqqCw3jkmhxQwoVZUNu:Ze3aGVVdqylqq1jkmhxQwoVZUNu,"942352.bin.TMP", Linux executable (ELF), 143044 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/i586", c776548f6e8191d2cae05d1ae6f20646, 80375426422ae1d2bee37f80661c0980217f10f1, 93c6aa42fe55028dada1bb4b4c5e7cc6ce5de5bef44eb37e0541963f73ef0ef3, 3072:gjtwgA6UlYzZveohR9kIEMfdGZmmFVcqq0G27ZT:gjhzt3mIEMfAmmFVcqq0G27ZT,"942356.bin.TMP", Linux executable (ELF), 100267 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/i686", f3b8c41554aec45f356ff9129217062d, 8b3e83fce5f926d5f15d9eec37aeac5952e91b96, 663170287ab356a18f4b02e823171ef8fbc6ba0bcb01af3e2d071ff1f116ce7e, 3072:SOGAEtZoGZKWl6u4YTnbHTbimmFVcqq0G27ZT:SqEtZ755nbHTbimmFVcqq0G27ZT,"942355.bin.TMP", Linux executable (ELF), 104139 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/m68k", 7024c52913d4d3297239b60bf513dba4, 880ac6171d07d63153a492a64c22aa94e28101e9, a954dcab072a62b5ec0ddb9f8b6544170cd790107eabb9fb2e7619e00020f58c, 3072:L+YUpmc5hIof5UM7XgYjykKdbmm/QcuLB126DNb:LwU1of5UMPyk2bmm/QcuLB126DNb,"942346.bin.TMP", Linux executable (ELF), 118319 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/mipsel", a3c94821ba322c8e3735ce5fe1721028, e70c956d6f6a9517db4989352d88d18f133450c0, 6046045004fc0c23d9e03a797d5cdf6f113d75a390637ab57cbba807ef345f2d, 3072:1LNqrhHZ0P6bRFBQi4fRjHkLwmrThPaLEne7rNb:1Lsrr0PeRTJagLwmrThPaLEne7rNb,"942348.bin.TMP", Linux executable (ELF), 159493 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/powerpc", 5d846a78c285ac7a782de09778363297, 4192688e0c6f14579482aaf2542b8466878d1418, bc75f84973e8bb0e08e5dd04da09e1a186de1555e0aa41cd3f7634986804e8f5, 3072:Uvc29uyIcxE/sZxw+OqOKZmm/QcuLmH26PNb:Uvl9jIg4sZxjOv4mm/QcuLmH26PNb,"942347.bin.TMP", Linux executable (ELF), 117027 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://107.175.196.127/sh4", dfd6aeae744bb0681293df749b86a4be, c0c6a45aaecd07ba412cde98f59a50f7e4eed962, 89950e6295689318448c05dd1acdc8ff856a98b451161ce4581b0b548faa57d3, 3072:OwNUWqpCgYXlrSyWUfMNvMmH1cuEgv26uN/:OwNjqpC/G8fMNvMmH1cuEgv26uN/,"942354.bin.TMP", Linux executable (ELF), 112634 bytes, -, -
