# Generated 2021-01-01 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-01, "AgentTesla scr", "http://hisensetech.gq/angelx.scr", 980bd29a88ceb4a3e0f07d789768bcbf, a5353ee5fdeeabe1c1dd04ef661e9b9a0bb4494d, 636e96438bf8b2c34f6d80f0030c5b3b93029d13bdbb892a75e3d26942c80b46, 1536:Cb3a8pC69/LaKV5QSLc2aScPatDmkWlk11aBcjuOC1aHv4tJ/DuJcuQcd2c+hsf3:,"946741.bin.TMP", Windows executable (MZ), 1743360 bytes, nh:52e660848f98afa80dfb4920f8502964, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/a-r.m-4.Fourloko", b924c9904df9aaa0f0bc9c968fce5884, 624c9dae4fd973e33f3b7d67c5c375affc68bbc9, 86085f6520bb22723c3a3c8022c494d6923bd6a0eac09b3193172751f2941002, 1536:cQkE9VQPAWV83kb8Cw2HxD2jw50rOLEv0pPzRxQMDoicKmbNNA+mCVrQAFW9OXkz:hQR83rGh5O0pPNSKuY+mCVrQAFiOXkYe,"946965.bin.TMP", Linux executable (ELF), 97531 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/a-r.m-5.Fourloko", 31afb8aaf2e224e4fe27d570a9f3082d, bb98a68179249f7a76a559b74caab97e2ffc1fc3, a9e7c2b66fe5f9f1404d666ae3ec50af2756755434eb0a8ad811668455b34f69, 1536:jBkF9VQPAGZXz+MfgcqVq1ifTPTxHOJhqPHsCE7XumREqQ4b/X7XSee:GQFXzFT16TcqPHpmREqQ4bv7XSee,"946962.bin.TMP", Linux executable (ELF), 92441 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/a-r.m-6.Fourloko", a071be4ecf0c8d1f30b4123763f49967, 504625f7f48deda84f8d5bff0960997e074f54c5, b5ab821e390cc183a7a5ddb97bf1915b11b7d9803a2af54de5615ac5a9e3f986, 3072:wdAkae+l8tZ2hWJJopXDELqzQbmTQOWsXAOn:wykae+l8BopXDibmTQOWCAOn,"946963.bin.TMP", Linux executable (ELF), 111521 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/a-r.m-7.Fourloko", 91817b4386b8afe8b53ce615f6190118, fc5206b8ffeddac75d188231504c3f55389c30ec, bdb6006a55ddd3d2a66ddf8163eb44200766b3e458424aaea26361d2f7dfe87c, 1536:lQm/PYM4bk/7Wv9Sc4Q3XFKAR9CI8l8EmQ9VqXjtWf2Xe:lVJnyoc4Q3XNZ8l8EmQ9VqXBWf2Xe,"946969.bin.TMP", Linux executable (ELF), 84797 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/i-5.8-6.Fourloko", ea15b6974c176b875b81d4d8da84661b, 955d3ab5e3663b25f9ca66590af9d534057e5a56, 37a7f49dfd1e3b59a5ec75b84077b62c0bc9bbe14d150a4fa1ebb38e40301a54, 1536:4wZuvdpB8F9OEG6ktQm3r/FS3n9RIB6Yy36gs52fPy6Vk/TmQ9VqXjewf2Le:B0p09W6KTG/IB6Yy36dAPTVkmQ9VqXy+,"946970.bin.TMP", Linux executable (ELF), 91080 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/m-6.8-k.Fourloko", cf3487668d71542947c3920f5eb5b3f8, 4ebe4fa1e5d8817f494ec145dea5062f0f23c996, 836a4d80df22a7fa44eb9ddd806e2d6024726738f7e361cc5eb57dd6a3ee6cf5, 3072:bBnEaZUpFYZ6qAllzRohvinnFEM/9WKmpwfvRQfZn:blEaZUpFYsqwRoVinneM/9HmpwfvafZn,"946971.bin.TMP", Linux executable (ELF), 150386 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/m-i.p-s.Fourloko", 21c3cf0fa1f71c53978f2e8b91d1eff4, e6d1068abb5b42b398ee8c81df85a010adbdca4c, facff0a67e0dfa3f7738e7ff6770934dcd0d1ec751341adcf9c7658889af0384, 1536:27ju1Thpq+XvYC2rKy3eYxPGEEeRYYIj8vEC7ZXA4PUmkiSFxfC7xbXe:RvYBPGEu/jFs64PUmkiSFxfKxbXe,"946959.bin.TMP", Linux executable (ELF), 113268 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/m-p.s-l.Fourloko", b163a5a1bc1d91e6ec98d3e302fc468e, b06995a5f45c4f8ff7970dcc3ad575c2af5dd772, 260ccc68fc1c9401f4b1844b5e29ef7e9f9c448577fde64032d988205fe9a5a8, 1536:ZLeTukthhSMOCMQS+ZjN4pjuIxreg2OytWklwUmkiSFxfC7xbXe:ZRHC3S+dUreLtnwUmkiSFxfKxbXe,"946968.bin.TMP", Linux executable (ELF), 113268 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/p-p.c-.Fourloko", b924c9904df9aaa0f0bc9c968fce5884, 624c9dae4fd973e33f3b7d67c5c375affc68bbc9, 86085f6520bb22723c3a3c8022c494d6923bd6a0eac09b3193172751f2941002, 1536:cQkE9VQPAWV83kb8Cw2HxD2jw50rOLEv0pPzRxQMDoicKmbNNA+mCVrQAFW9OXkz:hQR83rGh5O0pPNSKuY+mCVrQAFiOXkYe,"946966.bin.TMP", Linux executable (ELF), 97531 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/s-h.4-.Fourloko", c31437828a641fadfa5571b95f0cf47b, 6aa267e6ee7736105b0eb8ae16f8a2eb46e7221a, 561ffb43b6e5414409f3e9779100bc4463ce7a14796a8af7be8e931bd3b20dd2, 1536:Mwy558fBKepVIISJgtxqENpcC4S0oJismj9VqYLe8f26e:fYifIexSJgJcnS0oYsmj9VqYq8f26e,"946964.bin.TMP", Linux executable (ELF), 77750 bytes, -, -
2021-01-01, "bashlite elf gafgyt", "http://63.250.56.87/x-3.2-.Fourloko", 38d19ef72ce5d36f1a0755b6d2f2cca7, 9777f91e28805e15703e5dd36bdb2ef1de6a5aad, 4773df7da48484500947881ff60ddd4871139aad8069190a170152859a956d22, 1536:0+xNVpGQWuKv8xKBnq5PeOj5zMLXS5qmLI2VOCjXUfJRk:nNT830xKBnq9eGcS5qmU2VOCbUfJRk,"946958.bin.TMP", Linux executable (ELF), 74017 bytes, -, -
