# Generated 2021-01-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-22, "AgentTesla exe opendir", "http://tunedinblog.com/wp-includes/dmitrix.scr", 8f067e5d8c2bfb6d64f3b747566e5790, 967ac2725a7be422b5b1349c971dd792c877ff47, 7d7924e92e2e23345b47169e428d4bc85cd5140e733e90512d28cef9e7d0c38a, 384:JUOix2L35fIaFFY43t60W5K5ISMQlFK3j9wvn8/hALZRScHFfA68AFRm:Yx2L3FMdK55bNPYeLDScH1IT,"973677.bin.TMP", Windows executable (MZ), 26112 bytes, nh:605eaf4d5642544b3a24f8b69c3d0dc7, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/a-r.m-4.Sakura", 6e7bd54935ae0cf7620a68ee48d1cd8d, 36c6cf4aae585f2d309c9ad6d39652d415ce1bb5, 435ecf29d349292b6beb8d0e7c31e5bb2c54261ea8642e850fbd4be186091f48, 3072:MSY+46m1qOzss4FPPKNy+AmkZrQAhPDCXFke:06mgOzJ4FPzmkZrQAhPDCXFke,"973612.bin.TMP", Linux executable (ELF), 108417 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/a-r.m-5.Sakura", aa927d13103633ab220206c609fa2a03, 4d35fb983f13fb1f09c662930155848ee6d00e98, e86fa926202554905923bbf957bbfba9648d4e0a95759abf2268f8d1c77654e0, 3072:VSx+i6mqaObhNFnPNKV+qKmZuqQ4DPwXXtse:y6mRObnFnP7qKmZuqQ4DPwXXtse,"973610.bin.TMP", Linux executable (ELF), 100871 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/a-r.m-6.Sakura", 95a3120b15cb6e1f0918ec4a229f613f, fefa9a0332d5d0a63fa0a63109e6d4036a7238e0, 52b8cc74706781a8e1fcccfd0b8ac8d42e9795df5db19502f474750724009347, 3072:ekYPUfsgnsb0J2ag/VfMkDN0dn+mTQOY5NX3cn:9YPUfsgEo2a0MkDy+mTQOY5R3cn,"973614.bin.TMP", Linux executable (ELF), 121007 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/a-r.m-7.Sakura", eba76aae0722db0d885dee54094c5e69, 061dc2118b91d987c07ea24e71b51939b81ba962, a8dc18ef53343905f3b2e473e6855704111be5a95167c50e26465b79244f8d5a, 1536:QQK1n7bzX9jajzvxRq57wBRcGCMCZDxeBk+8nl4umXxVqDrstKfz9e:Q97vk51RcG7A1l4umXxVqDrIKfz9e,"973616.bin.TMP", Linux executable (ELF), 93907 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/i-5.8-6.Sakura", c64718e51ba545a6188c81d347c559df, 9946f77832660e94bd101a513b1a95cfa4b6f4b3, 002e034ee0c36bb4a6992b3878b8c261270fbad3361a019e414624da77427082, 3072:/Ir2vIBAxMyAOLRcftO2OemuxVqDr78fz1e:/Ir2vIRyAYcA2OemuxVqDr78fz1e,"973611.bin.TMP", Linux executable (ELF), 98919 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/m-6.8-k.Sakura", 6043c27e31fcfcfb33f3831695f366f2, 87894547e63d8ebe6111e320e2cb5cb5bb3f94df, 550774c2c640b561ac7cd25ae97a81249325108c267d265afb5a93167ad060d5, 3072:T1g2/eINNlzx2kkQCMOaQcvBPYnyLRM/9q3tmFwfBxKQodn:hg2hNNlzIkk/MOa/tYnydM/9MmFwfBxE,"973608.bin.TMP", Linux executable (ELF), 159888 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/m-i.p-s.Sakura", a635f9bf8d3ce5fab16ac5d188c5f98d, 037ca8a87558b2a0c8a71f661a0fa2226044fef1, 301266503dc2f2e4c34ef9165cc814ea048f8e9d7fdec08acd6f7ea788fd6f88, 1536:M7je1TMGq+f+AQ2rK7zeXeReXe8V2rK7Ie+u60GAzQj1l72HBeEEdWfRZrmW+IFj:Ted0W0MZQH2d6RZrmW+IFB1Dt1hR/,"973607.bin.TMP", Linux executable (ELF), 125962 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/m-p.s-l.Sakura", c580d53587bc933761d99667f41fd07c, cf6a19dc422dd243e826f844808548feab67d330, 3f0587801374ca3eff8abe8e18ffe0741ffa86d6ad4000758dc2917d5b163f21, 1536:/UHeTxCAms/Y8Zm3lKYA43gMJwSkJ8Ept+DzUh8rmW+IFB1Df11hR/:/UyLqAmgMJM8Ej+Dw8rmW+IFB1Dt1hR/,"973606.bin.TMP", Linux executable (ELF), 126042 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/p-p.c-.Sakura", 6e7bd54935ae0cf7620a68ee48d1cd8d, 36c6cf4aae585f2d309c9ad6d39652d415ce1bb5, 435ecf29d349292b6beb8d0e7c31e5bb2c54261ea8642e850fbd4be186091f48, 3072:MSY+46m1qOzss4FPPKNy+AmkZrQAhPDCXFke:06mgOzJ4FPzmkZrQAhPDCXFke,"973613.bin.TMP", Linux executable (ELF), 108417 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/s-h.4-.Sakura", 304c0ae5ee8dfb70b362850ffa181c93, 4e614ca0438ae4403b3cca6f2338215264f92abf, ad994f76e14b4096dce0b60c9223375a1c50075c939954ef5019b5820fc82b44, 1536:ClN9YyOXmMSr4k9dgGwKGg0CfjGJC7dojMyTRLmkxVqOEeofzee:g7OXmMSr4krG3JkBQLmkxVqODofzee,"973609.bin.TMP", Linux executable (ELF), 88733 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/x-3.2-.Sakura", 225a76ec5ffbcb6e1723379bf937b943, 669b285c0213758690a8eee8085bd5fdab5e19a2, ed035f860456e015898b845c6f4e39ff0d0688bae6a1836f33b8901798456033, 1536:W35b9Vc4N3J6lreu5r4hWj8L+WDloRmF+wVOz+sXcfW7k:Ab9Vc4JJ6liuq0Yy2oRmEwVOz+ucfW7k,"973615.bin.TMP", Linux executable (ELF), 84999 bytes, -, -
