# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-30, "_984239.jar.zip.bin", -, 7f2806f2d337879f4f7cf6e28cddd192, 09da500e8197b3ba287ef8a7f6bf37a4e1803b0a, 17f5f3c52bac67d3f3dd336ddc8fd91441d07aaf9620d4769263b1fb725d22bf, 192:EGj4zOA8I9PNNnwfVkriAr7prb0IqjRE8CtBJuWSZKQlU:14zHT9Ny9kOAr7NgIn2W+K,"_984239.jar.zip.bin", PKZipped file (Office .JAR .WAR), 7375 bytes, -, -
2021-01-30, "AgentTesla exe opendir", "http://poostatamindope.myq-see.com/kop/sil.exe", 8ecb4e5a7e2da81cfc68069c61d873a0, e8c8d58739e60ef0ffa0ae2999b73eb8a711c7a6, 9767f24cdeb959ecd20b003f7d9744c216b3bbcaae6ddc5d481a4cce2ea8e91f, 12288:LRizz8UTNd49Vd620LJNElNESqPSdPypLDqTQJJNAnutoL1dRZIqoY6:L8zQUfCVcomSdPM+TaaZoY,"984471.bin.TMP", Windows executable (MZ), 918016 bytes, nh:5cab964872eeed66f11a307cce60c73e, mh:00d006670c0c89d6b8fa1d3002d1dd85
2021-01-30, "Base64-encoded bitrat md5:cdd60dd4c991aa52e367712546669bfa", "https://k.top4top.io/p_1850qjzae1.jpg", 231eaa2d1571e8a0c82567323c73be0d, b5ff471f97e994b126875b9c2c6d8e4ca86fa485, 5da51004ca89cd80ec71b63d3247dbe2fa145cbfcb693322ee08fe44609e0dc7, 24576:5YQoZMx411bJFpivFvwVMaA+Bg4uWWiIw1gL1MA8IRJxGKDwIpwfw33BGho5YlYQ:iMx+Z8omL1M6xGKDwPw33YFum,"984503.bin.TMP", Windows executable (MZ) (Base64), 2009088 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.arm", 1e49093fd0d85a6dc78bf201bd011038, cbd3c24b53bf1443ba9778c8268ade08cd4ab671, 8d1a74ce35d62d4f853281e695b354dd3b83f9be7d0a882d56aa858baae71151, 1536:fpXcKpBUlet3DBboJubLCNgpRTZa7kcahWMP0hB4g5W9/e35z8FQ:fpXcKLU1cRY7kvhT8Qgt3aF,"984591.bin.TMP", Linux executable (ELF), 74744 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.arm5", aa0a87905905609889f5c4dd41bb1b8a, 73320a3585adc05e8b66bb5c79e70f1db7cce2cc, d62d6be1c20da5d16c5694a09e16927c0ccb00b7698ff502804af7d6323242c9, 1536:0hKz1DO6imcpDJhvGJgz0TPFh3t3rJd+4ahWrxsb4y9o5btej5l0Y:0hKz1DD+khpj+DhMm9oSjY,"984582.bin.TMP", Linux executable (ELF), 74784 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.arm6", 4f9778e2795a57b3c7e1bfe1f0a8345b, 9554e50bd7d7f393b3f8b66da329d7cd542a7ea7, 817ba3a44fcb142ce83fc9324f2319981c00733a53f2a6742c74ddbad735d2dc, 1536:g2nPtHYDLT8+M5UglSN6OeHTvvUhcR70pFi6H1YvKHw5e5V995LBOckIIijkuvbh:70T8359l7OMLvUhc90fpHGiQ0nnkuvbK,"984588.bin.TMP", Linux executable (ELF), 83560 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.arm7", 70444b7b40ade55ade1fe67e97a6092c, 22f81fbe6ba4b5decfa7d579ada4a65ed847b759, b942f11bf1e6fe2ff490172531c5e72d4f07421354b7bead6f2eb2f20b43957e, 3072:8RCjNqiAd8UgyzGhj/ol1Q3Gy225ev5FibkvtPJPSff0M/9AT33l:yCjNqiAd8UgyqhjUG5ev5FibGtJSfcMW,"984586.bin.TMP", Linux executable (ELF), 148949 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.m68k", aa4eb6106a38659df5d5287841b53954, a9f92363855f923e6059981a1ee2e4ec25ad6d77, fc3c21a366187f8424fe71ae83b37327830f363c3e719e60a787e4ea1e51b21f, 1536:JyoDylkqJ1mNqdIa8Ok/TxK7/1ZOnyW5TohZ9:JyoDXqfmNqW7/NK7/uy4od,"984583.bin.TMP", Linux executable (ELF), 72340 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.mips", 9606e0a2d577be0432b8f40ebec8d28f, 48f77ce00d5b1a8adcd3aca49501341b9eab23cb, c0c21531fe6184f2ca03621cd03d3f07335e51c344f539a02e47c8ff3b276199, 1536:AKzqmzfphPukFhyxCXgHo3eFz0H/DZ5mHZfzEY2QPUw:AKqYhuezWo3eFwHF5mHZfzEzIX,"984589.bin.TMP", Linux executable (ELF), 93472 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.mpsl", 4022d0aedadbcb5e682b2839bc522400, b10c598246390ed0df602662916a7b36478d80ab, 9d1cc908da6ed9ae0813436f70a6a495a206de4c25e7a1f2436dd5633f384aaf, 1536:nSITUINkErcWG6bZnH7zcSAkmI91rFC0Za72PzM:nSITRNsWftHMiXC0,"984590.bin.TMP", Linux executable (ELF), 97568 bytes, -, -
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.ppc", 59d0a596dfa8eefb5ab0d8e516b7e478, 7d91c0589ed2cad41fc49e0cad55d3dac8f72e7a, a176697bdb635387a33a63942b1275e944f6b220e5847c7ef0a8f1e9b0a262ab, 768:BcM3+VHuQYRPbMlxkSC1yHyx4cDzPH//1ZsVq8uiFzajl6HHleKnsbmqZr4sG5MI:Ow+fYYC1yHyau3/GWkyZEsfkIGwDYT0y,"984584.bin.TMP", Linux executable (ELF), 70744 bytes, -, -
