# Generated 2021-02-26 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-02-25, "doc", "https://ucaa8d25f2c7efbbd761db2ce91f.dl.dropboxusercontent.com/cd/0/get/BJoWHd5kiRUPNh5ZFu0M1Tjeskw8hUDCrLZVvkgpmHmNzDAUi8BagHL_BueOV1ADWblQFMAYBm2Gss8YsjEEqQbV_3dUUpjgIC85jt-xNsRQwOHRkDWjKY9ahqrUYyaOgS8/file?dl=1/", cfbe5eba4dbb3a291b1059078e002c00, 3507ce7c54821a95457daad908952b63f11a919f, be8e8a6a645e901752782369628c704ada4912ae32c0f3bf82f607ffbb79b6d6, 6144:9yn4KGHFqO41YAsU2BwwZnap7mHzxRPjF9E2uMKDvThg1AH:An4JFqO4KhvESHzPh9E2uMKJg1AH,"1030417.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 373248 bytes, -, -
2021-02-26, "AgentTesla exe", "http://dklkitchens.co.nz/maruders/fig/B5kdCIOrXByMTKJ.exe", 9feb0a5719f215f9a50ec42f4e139c31, c83e0f257259030ae0c65a2f0312f5a2e056113d, d99e9fd1092f9fa603bb5b45c91f716778d8a293eb5588969022d6a4e6834fc1, 12288:2QTmjzQQUDtvysgdTaEb8ImzQsUQ6ppdY7tyo:5TmPXUDQsgBrbG4Q6ppdgh,"1031007.bin.TMP", Windows executable (MZ), 543744 bytes, nh:74006ec58ca597a7a14486b5cc7b4fc5, mh:30af4d837a46dd24c104113d650dcd06
2021-02-26, "AgentTesla exe", "http://dklkitchens.co.nz/maruders/jap/jGHRvRkFkB28wE9.exe", 2bd03d4c1239179c36d517da0e25cb30, e56834e12e88118205c0ecd38659cfa3a203a9a0, be0c392231ad4edcb62e9a8d147d68a35883114933dbfc8a26d1f45b9a6aaa87, 12288:InbG8WDUuqvp3kOFUbfzkIkGvYcAUG4Mx89:gbGXUuW3kOhTZxi,"1031021.bin.TMP", Windows executable (MZ), 538112 bytes, nh:7e13f4caf265ca735de5910947d2636a, mh:714eb640e1a77bb3ded935abb4eb0daf
2021-02-26, "AgentTesla exe", "http://dklkitchens.co.nz/maruders/ok/HhNF8J7QsgtPzUy.exe", c4242be5efb3c3833c20e3ca293c7375, aa8c78515a6f0043c08b74fe142654ed59da5124, a2f1773e4b9146563dbf711ca1462448a7a847f8b6660424f72faaa5fa9b20d4, 12288:TF5jWfIuUshvBYSvj0lU7gVK8NmlAh6wt41LenxyQKR:B5jW9UsTYS70O7gg8LMRexX,"1031035.bin.TMP", Windows executable (MZ), 535552 bytes, nh:2474c5a784a21f62666b096589f41b99, mh:dbed48b880ecbaf67dbe94ee9065b9b9
2021-02-26, "AgentTesla exe", "http://rogatech.cf/joex.exe", 9decf18e822a2b03210185facccba692, 620b31f55ddad8ae34067f945cc0b7a7933e8538, 17a68f9da8d4a8ad6bedb9e2245d88ec5d368ed97c4de660057a1b4ef17b848a, 192:2Es7BmSgaMbHfWHLwBdDgXsxzi8zfBV5gjbUqJREqBZHkU7E:xsl0Bb/MLwByXsxzfdgjbxZhS,"1031001.bin.TMP", Windows executable (MZ), 18056 bytes, nh:b49d7e3e7329b0a7e97a83d30eea0f43, -
2021-02-26, "AgentTesla exe", "https://u.teknik.io/t6Ef3.txt", e87fd305545cf2e642fee18b57bb5252, 56fb770cfd829873cd4e45941969335ff98ad0ef, 655f621c3d3f6a7da99b1c332ab6dc1d4d9aae9cdef583360c480de982884513, 12288:+v3Em3jj+KM6V+w1B9pR3TDpWC8/HU1/MopEcz8t/dTFSmi9xas4EQ:E3vH+v6V+w1BNjDH0gi/T0,"1030977.bin.TMP", Windows executable (MZ), 759296 bytes, nh:b38f9b98271f3a27f6a9ed86212a31ad, mh:2a99de46d3936f14f8a72acb818f8517
2021-02-26, "AgentTesla", "http://dklkitchens.co.nz/maruders/uz/g2kh991LIeaYVfO.exe", e464a2d9934812818fc4f5e410399ae3, 30ff845d5d2475bd3cabd77bf3f07abad8e2ea21, 102b0bdae4e027e3e115490a1fe904b1a9f4fd9e4e52243719ee1167ec4ed62a, 12288:AFvKJ47UBpvO+6ZMK8TCMY1HfKla8wTFaVLz/1qk+7M:evKaUBc+IMKWCMay+TFQLzNF,"1031952.bin.TMP", Windows executable (MZ), 538624 bytes, nh:0584f4ca1e8f72ed1d83187421466ac3, mh:e8dde534500bd334c7dfb1d8755fa140
2021-02-26, "AgentTesla", "http://ihaveaheart.org/download/invoice.zip", a4a7fd604d1be9a0ed1ccb0b7e2fedd2, 2c660e74245a90b1c2db1fe3863e03d448dce67c, 53edbec7199a69562ea4ee37c1aca868adfbdd82d9e2ad9a1cd22aa90a08e49e, 12288:KDeKFmkJfpl5+bCVL2SZGSsI31hpEDsGoVbDtcfoocMjv6o4kmZR/dFCUZY:KKKFmkJfpKbYL2SZGS/31hpEADDKf2ov,"1031878.bin.TMP", PKZipped file (Office .JAR .WAR), 591739 bytes, -, -
2021-02-26, "ArkeiStealer exe", "http://plnv.top/files/penelop/5.exe", ca783503849f597d3ee2d6555adc1513, 7f3ea2e3f8b4338024f1e75d464bba8f507706f5, ac2fb6674e44ec4e06a12aa1fed4b46fbc064c7940c603aa83344d04f738a3cb, 12288:4Op68AyrPulXB+vhpdUqRU2k6ZYks4ylA3uPt3/Ib:4O81aCBO6qRPk6KFA3uPGb,"1030992.bin.TMP", Windows executable (MZ), 553984 bytes, rh:3f2ee1aa3aba50a13d96a20155f8c8ab, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.arm4", 5150aef59123b7b13e7cbd1cc1e56b7a, a50345e060047f6cd460ecd75d3d9e908e3b0375, ed9b5adbf84bfa4cde2804a053a9ca6256b141e0296135f93f4e473b0866c6a4, 3072:AWJSvCaOF75hSWU5rKYHmCyrQ0Knm4XnTe:lSzOF75hSNKemCyrQ0Knm4XnTe,"1031862.bin.TMP", Linux executable (ELF), 103742 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.arm5", ef7b193f40f68d3b51f0915d95be73bf, 29e4ec34f53d1c9c63a3ba6db5392741013af423, 04e1b2f4696db7b24365be8056848b277e6fa3423a0d2e7c76985c50ac1e9aff, 1536:iudkeuUpfVIesFnU/DrRTO0F5hiwK9XE6Y8mRxqQEqn/lJXfPe:3ussarj5hiwKq6nmRxqQEqn9JXfPe,"1031863.bin.TMP", Linux executable (ELF), 96196 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.arm6", e498f135ff47349a6800b3f36de65c41, 9d1531a8264ec5dfa8b97ca81720acdc90c5b6cf, 72b735b246cbf26f4121e423d05760d2a9b043ac898ae6eeb4ec22cfc6f9c394, 3072:kdxalJfNQa2BJNZto5hO3K5HoX0BbmOQUJ1UXpTn:YxalJf8to5hO3K180BbmOQUJ1apTn,"1031864.bin.TMP", Linux executable (ELF), 118812 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.mpsl", f2a681fe2efa71068d7d06b0b2bfe339, d558abd1cc179c85a4b42cd35fe4416c1180adc4, a5de175fcc6138e4e1cb53193c5967ae46157cdbae2d3ffe44c1a18d7e4a7ae8, 3072:O0RZwXWzkdJjh5hVftid7xmkizF9GhsRiAe:OPXhrl5hVftid7xmkizF9GhsRiAe,"1031860.bin.TMP", Linux executable (ELF), 115403 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.ppc", c99e3f3d787e2d4b438be4adff8c5654, 7b0204847803ab37525e78754447dda5d7ef2ca4, 2b6f3410e626fe5a538386018a728316b931482b680aae2907a8a9ac066cb926, 1536:m347Owvn7JDQ39LC+Ox8J6IfUSIhKh+wg5huj7rz9mQmV6qDjjoflee:moawP7SOv+6IMS9Q5huj7rz9mQmV6qD0,"1031866.bin.TMP", Linux executable (ELF), 89920 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.sparc", a073efb9c4d3697342a7318e6af985b4, 3982aca49444aa09f740e7a6623ff06f5f6c27a3, 39bfa972a953cf7ce3eddbf46ae5ea3147d8659ead0537adde7ee9c2c741350c, 1536:XBJ2MNM5oqtkUtnLphaK6igkvmQmF6OXj6ufeuTe:KMN8vxphaK62vmQmF6OXGufhTe,"1031861.bin.TMP", Linux executable (ELF), 101398 bytes, -, -
2021-02-26, "bashlite elf gafgyt", "http://198.23.229.170/skid.x86", 6e2ea27efebf5c5e97452b99bc69499c, 8d24433ffbf70a408b58fe15ac0e75fb7b7fcb45, 71c3384ce641dd46aa775446211ff5392ab7bd6bbbb42ce01f29cc028d234980, 1536:W7WREyqkQc923v2uNi7pNF+BoD3Fphanvn00/FmoI5um2Xj5YZA0e:4RkQT3v9EbYBo7Fphanvn00dmr5um2Xx,"1031859.bin.TMP", Linux executable (ELF), 92932 bytes, -, -
2021-02-26, "bitrat exe opendir rat", "http://seed-bc.com/juop3/wetw/pklp/bjk/iblGozHrAyPEMKc.exe", d0946249b861c18765875f25655f19ed, 1c291d536eb64bce28094c0940e24985596ae992, c482ebed5672bdbc0cca51b79bbb7babaa82a678142d981a7dd009ad813c20d7, 98304:YuWNQ0kKDhLa1xecuMJWJ4qnP6x0V2ucdIlpzJwkU2V:diQ0Nirvk2qSxHyzJwkn,"1031102.bin.TMP", Windows executable (MZ), 5138644 bytes, rh:721f41cb7584ab3ead2c069fbef78f36, mh:dc6c092fc0cef48fa4d6e7b1556b5492
2021-02-26, "elf gafgyt", "http://134.195.139.4/apache2", c98970bd48198e0d1c4fb4151b316d6e, c84b76c0a52471141da46ca0955592ec6fc6cd73, 4129e9144216e841f3172802c9b33824cb84689bd8eab9e7076629a5194c7a12, 3072:hTN0wNLPXbH0GftEZHlC1Gl5imB1sMWQEZiGYwK5aWp8AVTLNHQseBWqyXqQvTdX:JHfKgO8ABLNHPeBWqyXqQvTdICqS+a,"1032102.bin.TMP", Linux executable (ELF), 127793 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/cron", 66dd72a58ce6b1ae44e83662db9e3f4d, 600150cf5ca63a10b3b24bdbb0cf9507af6dcf06, 9f9e8470040415b482956502c4238e3bbfe3361d9276b6bbfdda0f28240e5fd8, 3072:arSnl7vFyHOipcnkGtHpHwkWbmV1TZMzGcJa:arEl7vYHOSXGBmkWbmV1TZMzGcJa,"1032111.bin.TMP", Linux executable (ELF), 118543 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/ftp", 28db35e2e3a0ea43e25e19ab53960184, 19bf2cad7d965951aba75dcf1c7e587fb6f63dd7, 5f93187fc0a3fd95ebbc0f206e2edf4719917503d2f1b4f0692551c1c9c82472, 3072:hEGs61uJZUMVMflxfO5/34K+uSd/FMuBau22/IbhVCj+HGEGRtA:PMjdWH2+0SdWuYupIbhVCj+mEGRtA,"1032105.bin.TMP", Linux executable (ELF), 98735 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/ntpd", 832b00001b2646afaccc7999cfb2713c, 72f112c4fb7202ada35396028d0be9b71d19508f, 7f30ece0858bc4162e4132f807acb193338a41a7a1878fd00f9ad3a3144ec3f0, 3072:DQnkNKx2XjYYYUrvcMXCwFqxm5Ruk5KFCxlkiy7/a:cnHkU2v/XllRuk5KFCxlxy7/a,"1032115.bin.TMP", Linux executable (ELF), 157613 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/openssh", 0aafa92166227e0513023d4a1cbd7383, 5e56014ae430bb6146a4bd372b42f1df8e7d2207, 833fdec4449eb91f543702bae3b1aeaf063bf0d94c0776c73f02bc844968ec93, 3072:1phsj9gc81AtQHG0hP6+RQQ8gmV16AG7GcWa:1py9gB1h3i++Q8gmV16z7GcWa,"1032116.bin.TMP", Linux executable (ELF), 110356 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/pftp", 34fac69225b9e5f433c7e8964e4926aa, 8eb4e0232c03b858723052ad022b78c15231b010, 90f02be6fb6f6c16ca9c3cd1ac82c181ee4f9fc77c1e4866640990d051da70cf, 3072:pbzfPsFPHmwwHIwDFBKs8zUFrCLybA74oJCz+n/bmV1TZwGBGcZa:p/ykowDFos32LybOJBn/bmV1TZDBGcZa,"1032107.bin.TMP", Linux executable (ELF), 126606 bytes, -, -
2021-02-26, "elf gafgyt", "http://134.195.139.4/sh", e6c7b7641dd32122bcfbdbcbaabd4c48, b201df04840f65f47297c54f232040a360361c99, 523d8dd8013a37f9894cec8c6014c5d8c8fe0f19a2bf87daa9cb0fd30494fca9, 3072:6eijMdoPv0ZwTd+KiWCebmF1HJwGBGK2a:Yg4oi+SCebmF1HJDBGK2a,"1032104.bin.TMP", Linux executable (ELF), 131305 bytes, -, -
